algo,seed,embb_p5_normal,embb_p5_uniform_attn
gnn-madqn_gat,42,1.87663472375,1.8941743000000002
gnn-madqn_gat,43,3.8358570098876955e-05,3.8358570098876955e-05
gnn-madqn_gat,44,3.8949600601196295e-05,0.771623285388565
gnn-madqn_gat,45,1.8487128075,1.8487128075
gnn-madqn_gat,46,1.8487128075,1.8487128075
gnn-mappo_gat,42,3.8358570098876955e-05,3.8358570098876955e-05
gnn-mappo_gat,43,1.9065279,1.9065279
gnn-mappo_gat,44,1.8632682500000002,1.8632682500000002
gnn-mappo_gat,45,1.8847046250000001,1.8847046250000001
gnn-mappo_gat,46,1.9065279,1.9065279
