algo,seed,embb_p5_mbps_normal,embb_p5_mbps_uniform_attn,timely_throughput_mbps_normal,timely_throughput_mbps_uniform_attn,sla_satisfaction_pct_normal,sla_satisfaction_pct_uniform_attn
gnn-madqn_gat,42,4.608624560832978e-06,4.497951393127442e-06,268.8217229400904,268.12578948554994,89.21780959996185,89.07249870134714
gnn-madqn_gat,43,4.643340903520585e-06,4.750372958183289e-06,268.374276308561,268.11109749789375,89.08016036577166,88.97147431013701
gnn-madqn_gat,44,4.585727945566177e-06,4.495453212261199e-06,268.61516876241507,267.5719712490646,89.15019460262894,88.83237290020637
gnn-madqn_gat,45,4.622825893163681e-06,4.6917120552063e-06,268.3036145372918,268.21922285550227,89.04107800067581,88.96550175247053
gnn-madqn_gat,46,4.499762746095658e-06,4.4109661066532135e-06,268.44123330497115,268.2565638265097,89.08554521591064,88.98503345339644
gnn-mappo_gat,42,3.496869237422943e-06,3.6548244559764863e-06,270.86759700830083,268.28157186399756,89.88516847663234,88.96063569323684
gnn-mappo_gat,43,4.233177707195283e-06,4.511840796470643e-06,269.0439371383263,270.2765518027142,89.30429579906402,89.70136865373419
gnn-mappo_gat,44,1.4909461190625004,1.4813340671875,262.8458821511962,262.86425654713446,87.71074307247996,87.71782030164297
gnn-mappo_gat,45,2.759694825410843e-06,2.7607176733016968e-06,266.69268514649065,266.74124347517267,88.91525558024344,88.92916866509617
gnn-mappo_gat,46,3.970047496557236e-06,3.623232773542405e-06,269.7672974527385,271.3524322110175,89.5257109772702,89.9683166879714
