algo,seed,embb_p5_mbps_normal,embb_p5_mbps_uniform_attn,timely_throughput_mbps_normal,timely_throughput_mbps_uniform_attn,sla_satisfaction_pct_normal,sla_satisfaction_pct_uniform_attn
gnn-madqn_gat,42,6.237081298828126e-06,6.100218689441682e-06,70.38831695718012,70.62461674647011,92.60845362788379,93.08237369627655
gnn-madqn_gat,43,6.2995184397697455e-06,5.226589543819428e-06,70.1897944214856,70.6591382723753,92.33051396664703,92.91936247248755
gnn-madqn_gat,44,5.8010541087389e-06,6.302563098669052e-06,70.27828376251506,70.74448104562734,92.65350282691035,93.10928717914851
gnn-madqn_gat,45,6.0688517534732824e-06,6.196066613197327e-06,70.43345620697919,70.28903398703702,92.78382648847257,92.49927255246753
gnn-madqn_gat,46,6.371365225315095e-06,6.395125026702882e-06,70.6915984678512,70.83696072879636,93.11459517499864,93.25708999293346
gnn-mappo_gat,42,5.323336470127105e-06,5.428052953481675e-06,71.4043808640381,70.42515309410635,93.97285710905031,92.6579208926743
gnn-mappo_gat,43,6.257165364027024e-06,6.589853955507278e-06,70.91224367513706,71.1772791805072,93.32250639448799,93.6672168336636
gnn-mappo_gat,44,1.5732190640625,1.5732090640625,70.70527141111333,70.70249419998486,93.27528773430143,93.27160914807814
gnn-mappo_gat,45,4.453637021780015e-06,4.453637021780015e-06,71.16057374130469,71.16057374130469,94.00762916542962,94.00762916542962
gnn-mappo_gat,46,5.7294623565673835e-06,5.457507507801056e-06,70.58058390078054,71.06328375492672,92.86787665518203,93.48889983552321
