algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-mappo_gatedge,42,gatedge,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gatedge,42,gatedge,conv1_pre,0.0005129808079143825,2.7874589571549904,0.9999996722520317,,,,,,,,,,
gnn-mappo_gatedge,42,gatedge,conv1_act,0.0005202405050340058,2.7925146329506227,0.9999996642405751,,,,,,,,,,
gnn-mappo_gatedge,42,gatedge,conv2,2.8283747660068106e-06,2.601068190267099,0.9999999999914138,,,,,,,,,,
gnn-mappo_gatedge,43,gatedge,input,0.11230017912316272,1.9828476127145447,0.9843567129312089,6.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0009099036464917608,0.0,0.0
gnn-mappo_gatedge,43,gatedge,conv1_pre,0.00040266907638904177,2.495086388669924,0.9999997975756673,,,,,,,,,,
gnn-mappo_gatedge,43,gatedge,conv1_act,0.0004143988116491253,2.500930085127825,0.9999997855499932,,,,,,,,,,
gnn-mappo_gatedge,43,gatedge,conv2,1.7004639199025057e-06,2.530106500884306,0.9999999999966155,,,,,,,,,,
gnn-mappo_gatres-edge,42,gatres-edge,input,0.3311840056511027,2.0443415885921215,0.8772351552807042,6.0,5.0,0.056637930451150405,1.2108601679130748,0.5623891123326162,1.9999999999999996,0.001948850175423327,0.3659641552770292,0.0,0.0
gnn-mappo_gatres-edge,42,gatres-edge,conv1_pre,0.0025035010594050065,2.3695095454150197,0.9999921822376093,,,,,,,,,,
gnn-mappo_gatres-edge,42,gatres-edge,conv1_act,0.03236266061006204,2.107877124603385,0.9987464901736438,,,,,,,,,,
gnn-mappo_gatres-edge,42,gatres-edge,conv2,0.010418051071356205,2.0039087465657164,0.9998668425650031,,,,,,,,,,
gnn-mappo_gatres-edge,43,gatres-edge,input,0.1387553379816473,2.966331195706239,0.9762634649658561,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10162463593033046,1.2532133863383892,2.0,0.0,0.0
gnn-mappo_gatres-edge,43,gatres-edge,conv1_pre,0.0007830997109738531,3.2142223705767163,0.9999992483729084,,,,,,,,,,
gnn-mappo_gatres-edge,43,gatres-edge,conv1_act,0.01858366523162402,3.014560006045974,0.9995715800566891,,,,,,,,,,
gnn-mappo_gatres-edge,43,gatres-edge,conv2,0.006088289722691823,2.9088371958070023,0.9999543273889154,,,,,,,,,,
gnn-mappo_gatres,42,gatres,input,0.13873463301091507,2.964187455912739,0.9762699745171991,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.10078447083594526,1.2532133863383892,2.0,0.0,0.0
gnn-mappo_gatres,42,gatres,conv1_pre,0.0003432992891632541,3.1523107917112476,0.9999998530301204,,,,,,,,,,
gnn-mappo_gatres,42,gatres,conv1_act,0.018470095318558963,3.0323359296478043,0.9995750990860233,,,,,,,,,,
gnn-mappo_gatres,42,gatres,conv2,0.006873059339816143,2.9265948188424105,0.9999414043001739,,,,,,,,,,
gnn-mappo_gatres,43,gatres,input,0.4407570032956779,2.6629404454528656,0.783479639089536,6.0,6.0,0.056637930451150405,1.0697727581023977,0.7680528498563456,2.0,0.8164998214193997,1.1246470533871904,0.0,0.0
gnn-mappo_gatres,43,gatres,conv1_pre,0.0016377016163630818,2.9321976397945537,0.9999966842210419,,,,,,,,,,
gnn-mappo_gatres,43,gatres,conv1_act,0.042361389425371404,2.6228663782544164,0.9977955692917849,,,,,,,,,,
gnn-mappo_gatres,43,gatres,conv2,0.011268892079807247,2.5850783005619316,0.9998427298026421,,,,,,,,,,
