algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-madqn_gat,42,gat,input,0.3707650967387546,3.406452339338874,0.8439927256555645,6.0,6.0,0.056637930451150405,0.6767178422412677,1.1403731837767093,1.225211509345907,1.225909935163926,2.0,0.0,0.0
gnn-madqn_gat,42,gat,conv1_pre,0.01370810855033543,1.72837797637283,0.9997942516597906,,,,,,,,,,
gnn-madqn_gat,42,gat,conv1_act,0.01388717897198442,1.6512874963521085,0.9997630861673278,,,,,,,,,,
gnn-madqn_gat,42,gat,conv2,1.4797792765087002e-06,1.270083178607113,0.999999999998088,,,,,,,,,,
gnn-madqn_gat,43,gat,input,0.4132946350522785,2.5036599192852242,0.8147491264502644,6.0,6.0,0.056637930451150405,0.9254085730306495,0.9254085730306495,2.0,0.839651777949241,1.6689212649964473,0.0,0.0
gnn-madqn_gat,43,gat,conv1_pre,0.026198819001945938,2.5912379089895023,0.999147956061071,,,,,,,,,,
gnn-madqn_gat,43,gat,conv1_act,0.026192657631090535,2.4560010213043046,0.9991471087094096,,,,,,,,,,
gnn-madqn_gat,43,gat,conv2,0.0,0.0,1.0000000000000002,,,,,,,,,,
gnn-madqn_gat,44,gat,input,0.15776315265697896,2.683786871473066,0.9692149370377982,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.2813127206752223,0.8165032178415564,1.217580865762065,0.0,0.0
gnn-madqn_gat,44,gat,conv1_pre,0.02629260043005808,1.8963342912199777,0.999140589666397,,,,,,,,,,
gnn-madqn_gat,44,gat,conv1_act,0.026424353722331907,1.8911752120370158,0.9991869657908591,,,,,,,,,,
gnn-madqn_gat,44,gat,conv2,0.000461518016182986,1.29420278134731,0.9999997377018269,,,,,,,,,,
gnn-madqn_gat,45,gat,input,0.1518722104013102,2.724088695281889,0.9715303411155863,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.2976500451710492,0.8306895815127961,1.6888056873397659,0.0,0.0
gnn-madqn_gat,45,gat,conv1_pre,0.015755553621858157,2.670959232175807,0.999695160008953,,,,,,,,,,
gnn-madqn_gat,45,gat,conv1_act,0.07338203351241554,2.637310796040602,0.9933761918706931,,,,,,,,,,
gnn-madqn_gat,45,gat,conv2,0.0019938843659412903,1.048711324035481,0.9999952709050264,,,,,,,,,,
gnn-madqn_gat,46,gat,input,0.14345342095063596,3.2359686997593737,0.9746698078638165,6.0,6.0,0.056637930451150405,0.013079782590982506,1.2817286561601033,0.22851979411009826,1.2409764320077514,2.0,0.0,0.0
gnn-madqn_gat,46,gat,conv1_pre,0.004624024424803431,3.030116147311538,0.9999756096690733,,,,,,,,,,
gnn-madqn_gat,46,gat,conv1_act,0.02041307937441658,2.983912631922295,0.999490305775854,,,,,,,,,,
gnn-madqn_gat,46,gat,conv2,0.0001604072070355782,1.8244125773196356,0.9999999678818675,,,,,,,,,,
gnn-madqn_sage,42,sage,input,0.37287840588185056,3.406562750212266,0.8421384457187358,7.0,7.0,0.056637930451150405,0.6767178422412677,1.1403731837767093,1.224815247581188,1.2281484281477195,2.0,0.05128206303839137,0.0
gnn-madqn_sage,42,sage,conv1_pre,0.11151951177821101,2.8814350340644554,0.9920510320766056,,,,,,,,,,
gnn-madqn_sage,42,sage,conv1_act,0.07869371036644582,2.601776227534902,0.9981530045362492,,,,,,,,,,
gnn-madqn_sage,42,sage,conv2,0.04847371502359172,2.740038658414014,0.9972467880749157,,,,,,,,,,
gnn-madqn_sage,43,sage,input,0.4111328680203503,3.4015653134861106,0.8115109304415551,6.0,6.0,0.056637930451150405,0.8493915183987032,0.9984162420767653,1.2287642989207637,1.2247715624196747,2.0,0.0,0.0
gnn-madqn_sage,43,sage,conv1_pre,0.09694605400581631,3.0677212316068356,0.9933131653804439,,,,,,,,,,
gnn-madqn_sage,43,sage,conv1_act,0.08709644645609475,2.82970658147001,0.9955940265003551,,,,,,,,,,
gnn-madqn_sage,43,sage,conv2,0.07748329466221561,1.9355531302699338,0.9980664933009742,,,,,,,,,,
gnn-madqn_sage,44,sage,input,0.3831100133683033,2.7225180436447167,0.8318279874884572,6.0,6.0,0.056637930451150405,0.7680528498563456,1.0697727581023977,1.2264489666396243,0.8221694345838817,1.7367881828540197,0.0,0.0
gnn-madqn_sage,44,sage,conv1_pre,0.09152536069990805,2.3734326210538543,0.9930842561380591,,,,,,,,,,
gnn-madqn_sage,44,sage,conv1_act,0.06860962793276998,2.2714550071946507,0.9975782587978286,,,,,,,,,,
gnn-madqn_sage,44,sage,conv2,0.11039018816458168,1.9952606763056824,0.9965948151846724,,,,,,,,,,
gnn-madqn_sage,45,sage,input,0.41416984677740726,2.4544173943506657,0.8141852524947308,6.0,6.0,0.056637930451150405,0.9254085730306495,0.9254085730306495,1.9999999999999996,0.839651777949241,1.7523734991622277,0.0,0.0
gnn-madqn_sage,45,sage,conv1_pre,0.11611190959426491,2.0972043352703285,0.9901340959304876,,,,,,,,,,
gnn-madqn_sage,45,sage,conv1_act,0.08405667949639593,2.286483161653081,0.9969086364585025,,,,,,,,,,
