algo,family,backbone,n_points,reward_100k,reward_500k,reward_1m,final_reward,final_sla_satisfaction_pct,final_embb_mbps,final_delay_ms,final_jains_fairness
central-dqn,baseline,,1000,204.2215,113.0812,113.0812,215.2404,92.059524,4.231641,2.116718,0.727507
central-dqn,baseline,,1000,98.4597,77.5061,77.5061,207.385,87.839658,3.330512,0.824494,0.789834
central-dqn,baseline,,1000,117.0671,167.1702,167.1702,184.2916,96.840802,5.744736,1.751542,0.624381
central-dqn,baseline,,1000,119.5288,97.2761,97.2761,197.0883,87.028283,4.017335,2.112138,0.742725
central-ppo_floornone,baseline,,1953,403.1128,449.8129,203.7538,546.7432,88.082405,3.263742,1.60031,0.846575
central-ppo_floornone,baseline,,1953,433.5866,560.1878,221.3279,549.1506,86.373675,3.592525,2.058454,0.821847
central-ppo_floornone,baseline,,1953,488.2992,682.1571,376.7479,546.3058,94.701036,5.186795,1.129042,0.704958
central-ppo_floornone,baseline,,1953,442.6096,579.73,453.0252,539.3526,90.938542,6.42974,1.334921,0.645891
central-ppo_floornone,baseline,,1953,377.7257,467.1529,537.6841,550.5379,84.1066,7.82242,1.151713,0.603341
central-ppo_floorstatic,baseline,,1953,406.9018,449.0095,207.851,555.0429,88.173547,3.273071,1.560711,0.835738
central-ppo_floorstatic,baseline,,1953,434.5253,563.4641,230.2114,547.6864,87.642332,3.571654,1.996604,0.823161
central-ppo_floorstatic,baseline,,1953,498.1642,673.8755,381.7006,553.5889,95.064599,5.193007,0.909826,0.70333
central-ppo_floorstatic,baseline,,1953,440.7298,592.9948,467.7885,554.4826,91.68302,6.493559,0.981551,0.643376
central-ppo_floorstatic,baseline,,1953,384.1875,469.0224,552.4497,553.256,83.649965,8.018989,1.183051,0.601678
central-ppo,baseline,,1953,436.4395,569.5965,248.6158,568.5854,91.944806,3.560266,1.818822,0.828305
central-ppo,baseline,,1953,494.3479,671.0452,389.2683,565.6591,99.450755,5.088446,0.684771,0.717246
central-ppo,baseline,,1953,447.5029,601.84,476.9003,565.3691,96.634271,6.338308,1.017719,0.652047
central-ppo,baseline,,1953,391.0692,481.8429,583.8145,568.5748,89.173225,8.053458,1.325632,0.603683
gnn-madqn_gat,proposed,gat,1000,197.8279,106.5002,106.5002,175.7614,93.571429,3.917846,1.417392,0.77271
gnn-madqn_gat,proposed,gat,1000,139.6793,69.697,69.697,198.043,86.952388,3.124575,0.724333,0.82803
gnn-madqn_gat,proposed,gat,1000,142.9182,169.2703,169.2703,209.8119,96.129883,5.852391,2.067227,0.609412
gnn-madqn_gat,proposed,gat,1000,141.5249,100.3821,100.3821,206.734,87.284673,4.108135,2.147742,0.745858
gnn-madqn_sage_floornone,proposed,sage,1000,129.6841,47.3001,47.3001,198.4766,41.285025,5.480583,3.409378,0.699508
gnn-madqn_sage_floornone,proposed,sage,1000,196.1187,104.3979,104.3979,195.636,86.515873,4.295942,2.058804,0.710334
gnn-madqn_sage_floornone,proposed,sage,1000,127.8611,64.3553,64.3553,202.6914,79.359106,3.514513,1.001108,0.796078
gnn-madqn_sage_floornone,proposed,sage,1000,97.7423,167.8769,167.8769,203.8897,94.935698,5.894975,1.916007,0.630254
gnn-madqn_sage_floornone,proposed,sage,1000,140.2375,92.3983,92.3983,186.8747,80.866918,4.275231,2.090649,0.722484
gnn-madqn_sage_floorstatic,proposed,sage,1000,239.1648,115.6813,115.6813,207.1197,68.874806,5.765657,4.313365,0.659966
gnn-madqn_sage_floorstatic,proposed,sage,1000,159.9233,91.9403,91.9403,205.1755,79.730159,4.307826,2.100556,0.707891
gnn-madqn_sage_floorstatic,proposed,sage,1000,129.963,71.573,71.573,202.7103,84.223243,3.393198,0.663161,0.807948
gnn-madqn_sage_floorstatic,proposed,sage,1000,117.9387,165.7342,165.7342,205.7475,93.521847,5.896343,2.118435,0.618915
gnn-madqn_sage_floorstatic,proposed,sage,1000,139.7365,87.7383,87.7383,196.8237,77.830302,4.302238,2.041717,0.719326
gnn-madqn_sage,proposed,sage,1000,179.8149,113.622,113.622,214.917,92.349206,4.232163,2.126532,0.719388
gnn-madqn_sage,proposed,sage,1000,141.8937,81.2555,81.2555,205.6352,90.16874,3.301239,1.082515,0.792544
gnn-madqn_sage,proposed,sage,1000,142.9679,169.2731,169.2731,209.2931,96.129883,5.852391,2.067227,0.609412
gnn-madqn_sage,proposed,sage,1000,139.7354,98.3835,98.3835,209.3162,85.530006,4.142642,2.059838,0.746233
gnn-mappo_gat_floornone,proposed,gat,1953,460.1891,558.2905,246.949,591.0856,95.353332,3.387423,1.034038,0.748977
