wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-15 17:34:13,0.04,199,1,-10.1685,-10.1685,4437.5,,,,,1.0,1.507582,0.150758,44177.512736,11.5,88.5,0.675984
2026-07-15 17:34:13,0.09,399,2,111.5962,50.7139,4482.9,,,,,1.0,5.73995,0.573995,53774.808747,12.5,87.5,0.707048
2026-07-15 17:34:13,0.13,599,3,-38.6215,20.9354,4463.2,,,,,1.0,0.677765,0.067776,62354.2188,12.0,88.0,0.450721
2026-07-15 17:34:13,0.18,799,4,15.1257,19.483,4338.4,,,,,1.0,2.126632,0.212663,45981.73562,10.0,90.0,0.617709
2026-07-15 17:34:13,0.48,999,5,-11.9432,13.1977,2098.5,0.271816,,,,0.9995,1.610434,0.161043,40889.246276,16.8,83.2,0.62246
2026-07-15 17:34:34,21.72,1199,6,55.9318,20.3201,55.2,268.646942,,,,0.904362,3.316401,0.33164,37047.938639,9.0,91.0,0.472148
2026-07-15 17:34:55,42.68,1399,7,-1.1817,17.2484,32.8,1690.095947,,,,0.81828,1.093224,0.109322,30037.689172,7.0,93.0,0.665842
2026-07-15 17:35:17,63.86,1599,8,126.0539,30.8491,25.0,5903.95459,,,,0.740392,5.012877,0.501288,22288.116993,5.0,95.0,0.466486
2026-07-15 17:35:37,84.28,1799,9,61.1465,34.2155,21.3,10416.893555,,,,0.669918,3.186468,0.318647,27505.836283,8.1,91.9,0.596221
2026-07-15 17:35:58,104.88,1999,10,164.6155,47.2555,19.1,23541.175781,,,,0.606152,6.286228,0.628623,18275.581417,5.0,95.0,0.673032
2026-07-15 17:36:18,125.31,2199,11,27.2765,45.4392,17.5,30524.5,,,,0.548455,1.312551,0.131255,10127.63728,2.5,97.5,0.498113
2026-07-15 17:36:39,146.01,2399,12,-97.388,33.5369,16.4,37965.984375,,,,0.49625,4.412648,0.441265,370474.638058,45.5,54.5,0.733258
2026-07-15 17:36:59,166.49,2599,13,-95.3172,23.6251,15.6,85542.0,,,,0.449014,4.978702,0.49787,346117.940541,49.0,51.0,0.500564
2026-07-15 17:37:20,187.23,2799,14,-114.8386,13.7348,14.9,105984.773438,,,,0.406275,7.160142,0.716014,647229.82105,64.5,35.5,0.519664
2026-07-15 17:37:41,207.84,2999,15,-242.0703,-3.3189,14.4,174207.671875,,,,0.367604,2.435213,0.243521,685549.139669,61.5,38.5,0.567984
2026-07-15 17:38:01,228.28,3199,16,-277.2226,-20.4378,14.0,302385.78125,,,,0.332613,3.129757,0.312976,993436.666998,71.8,28.2,0.295304
2026-07-15 17:38:21,248.76,3399,17,-295.4378,-36.6143,13.7,475819.34375,,,,0.300953,2.943163,0.294316,1354461.874689,72.6,27.4,0.481117
2026-07-15 17:38:42,269.6,3599,18,-373.6965,-55.3411,13.3,529308.1875,,,,0.272307,1.387249,0.138725,1760939.120318,80.4,19.6,0.319081
2026-07-15 17:39:03,290.22,3799,19,-53.6883,-55.2541,13.1,746555.625,,,,0.246387,11.0532,1.10532,902940.315896,74.4,25.6,0.332687
2026-07-15 17:39:23,310.63,3999,20,-317.452,-68.364,12.9,1134929.375,,,,0.222935,2.578837,0.257884,1138929.048132,75.4,24.6,0.551752
2026-07-15 17:39:44,331.33,4199,21,-387.5309,-83.5624,12.7,1468160.75,,,,0.201715,2.298127,0.229813,7468364.754496,83.5,16.5,0.514923
