wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-20 15:45:05,0.07,199,1,178.5598,178.5598,2759.2,,,,,1.0,6.038728,0.603873,4e-05,0.31493,2.0,3.0,0.0,0.0,0.0,100.0,31.739431,0.666907,1.0
2026-07-20 15:45:05,0.15,399,2,136.4849,157.5223,2736.6,,,,,1.0,5.242443,0.524244,4e-05,0.9215,10.0,10.0,2.981661,7.604639,10.5863,89.4137,28.407386,0.691201,1.0
2026-07-20 15:45:05,0.23,599,3,102.3383,139.1276,2637.4,,,,,1.0,4.016452,0.401645,4e-05,2.32198,10.0,10.0,1.681278,7.793923,9.475201,90.524799,28.659801,0.773678,1.0
2026-07-20 15:45:05,0.38,799,4,185.9386,150.8304,2111.7,,,,,1.0,6.608907,0.660891,1.91195,2.213067,9.0,9.0,0.0,6.670112,6.670112,93.329888,29.702,0.643317,1.0
2026-07-20 15:45:05,0.94,999,5,178.9092,156.4461,1062.2,0.553267,,,,0.9995,6.424491,0.642449,3.9e-05,1.158398,9.0,10.0,0.047763,6.065913,6.113676,93.886324,30.0071,0.689956,1.0
2026-07-20 15:46:05,60.08,1199,6,140.4343,153.7775,20.0,238.000702,,,,0.904362,5.066353,0.506635,3.9e-05,1.313487,9.0,10.0,0.004009,6.374278,6.378287,93.621713,29.66914,0.768179,1.0
2026-07-20 15:47:04,119.46,1399,7,185.1738,158.2627,11.7,1599.334961,,,,0.81828,6.300842,0.630084,4e-05,1.127734,6.0,7.0,0.0,2.036399,2.036399,97.963601,31.077158,0.693085,1.0
2026-07-20 15:48:03,178.14,1599,8,198.2009,163.255,9.0,4236.536621,,,,0.740392,7.27956,0.727956,3.9e-05,1.08255,10.0,10.0,1.398601,8.178603,9.577204,90.422796,28.656144,0.658229,1.0
2026-07-20 15:49:01,236.91,1799,9,262.2054,174.2495,7.6,9381.207031,,,,0.669918,8.92903,0.892903,1.89375,0.001782,0.0,0.0,0.0,0.0,0.0,100.0,31.60064,0.552275,1.0
2026-07-20 15:50:01,296.1,1999,10,264.4755,183.2721,6.8,15517.974609,,,,0.606152,9.572494,0.957249,4.1e-05,0.003643,0.0,0.0,0.0,0.0,0.0,100.0,31.62368,0.74509,0.999275
2026-07-20 15:51:00,355.24,2199,11,168.3329,181.9139,6.2,27930.898438,,,,0.548455,5.629551,0.562955,1.89345,0.940584,5.0,6.0,0.0,0.238519,0.238519,99.761481,31.410964,0.628008,0.999275
2026-07-20 15:51:59,414.19,2399,12,176.2457,181.4416,5.8,34173.304688,,,,0.49625,6.761378,0.676138,4.2e-05,2.024347,10.0,10.0,2.021061,8.35966,10.380721,89.619279,28.035046,0.641822,0.999275
2026-07-20 15:52:58,473.51,2599,13,197.1285,182.6483,5.5,38235.648438,,,,0.449014,6.77273,0.677273,1.8938,0.005871,0.0,0.0,0.0,0.0,0.0,100.0,31.61472,0.750104,0.999275
2026-07-20 15:53:57,532.59,2799,14,54.9064,173.5239,5.3,34273.859375,,,,0.406275,4.093579,0.409358,3.9e-05,0.799058,10.0,10.0,17.121849,16.418875,33.540724,66.459276,20.732766,0.689024,0.999275
2026-07-20 15:54:56,591.44,2999,15,195.5157,174.99,5.1,46157.976562,,,,0.367604,6.676472,0.667647,1.919,0.004224,0.0,0.0,0.0,0.0,0.0,100.0,31.81696,0.80758,0.999275
2026-07-20 15:55:55,650.52,3199,16,165.2842,174.3834,4.9,27907.066406,,,,0.332613,5.785041,0.578504,1.91895,1.155222,7.0,8.0,0.0,3.809103,3.809103,96.190897,30.495876,0.730659,0.999275
2026-07-20 15:56:54,709.83,3399,17,257.6329,179.2804,4.8,14755.353516,,,,0.300953,9.041958,0.904196,1.9219,0.002229,0.0,0.0,0.0,0.0,0.0,100.0,32.152105,0.772452,0.999275
2026-07-20 15:57:53,768.89,3599,18,374.3961,190.1202,4.7,10359.029297,,,,0.272307,12.55406,1.255406,1.91295,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.27392,0.568348,0.999275
2026-07-20 15:58:53,828.29,3799,19,266.1336,194.1209,4.6,7899.735352,,,,0.246387,8.881496,0.88815,4.6e-05,0.120409,1.0,1.0,0.0,0.0,0.0,100.0,32.168913,0.603853,0.999275
