wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-10 13:03:29,0.11,199,1,151.435,151.435,1735.0,,,,,1.0,6.080886,0.608089,4e-05,2.739969,10.0,10.0,14.18593,0.0,14.18593,85.81407,64.195956,0.663211,1.0
2026-08-10 13:03:29,0.21,399,2,125.287,138.361,1877.9,,,,,1.0,5.284263,0.528426,4e-05,0.606865,2.0,10.0,16.48405,0.0,16.48405,83.51595,62.599736,0.692479,1.0
2026-08-10 13:03:29,0.36,599,3,21.8421,99.5214,1664.5,,,,,1.0,4.070264,0.407026,4e-05,9.128542,10.0,10.0,50.431776,0.0,50.431776,49.568224,34.466804,0.782969,1.0
2026-08-10 13:03:29,0.49,799,4,144.675,110.8098,1638.1,,,,,1.0,6.645161,0.664516,1.91195,2.447017,10.0,10.0,26.888102,0.0,26.888102,73.111898,54.82692,0.637553,1.0
2026-08-10 13:03:30,1.12,999,5,161.1812,120.8841,894.8,0.494043,,,,0.9995,6.480202,0.64802,3.9e-05,0.796357,5.0,10.0,15.157304,0.0,15.157304,84.842696,64.348336,0.688463,1.0
2026-08-10 13:04:07,38.12,1199,6,66.7946,111.8692,31.5,273.005005,,,,0.904362,4.993761,0.499376,3.9e-05,6.119433,10.0,10.0,41.350964,0.0,41.350964,58.649036,42.254723,0.772365,1.0
2026-08-10 13:04:44,75.08,1399,7,115.3006,112.3594,18.6,2310.414062,,,,0.81828,6.173624,0.617362,3.9e-05,6.256182,10.0,10.0,34.30618,0.0,34.30618,65.69382,47.64372,0.724587,1.0
2026-08-10 13:05:21,112.01,1599,8,175.4237,120.2424,14.3,7989.02832,,,,0.740392,7.032708,0.703271,3.7e-05,0.5412,2.0,10.0,16.1188,0.0,16.1188,83.8812,63.536315,0.713896,1.0
2026-08-10 13:05:58,148.97,1799,9,251.3174,134.8063,12.1,27911.980469,,,,0.669918,8.825647,0.882565,3.9e-05,0.631669,4.0,5.0,0.0,0.0,0.0,100.0,75.841914,0.663291,1.0
2026-08-10 13:06:35,185.8,1999,10,230.1109,144.3368,10.8,69284.453125,,,,0.606152,8.74387,0.874387,4.1e-05,1.615646,10.0,10.0,2.31245,0.0,2.31245,97.68755,73.764775,0.807233,1.0
2026-08-10 13:07:12,222.91,2199,11,92.4106,139.6162,9.9,131561.5,,,,0.548455,4.606513,0.460651,3.9e-05,2.042159,10.0,10.0,22.667585,0.0,22.667585,77.332415,57.463559,0.788097,1.0
2026-08-10 13:07:49,260.03,2399,12,107.087,136.9054,9.2,215745.4375,,,,0.49625,5.915533,0.591553,3.9e-05,1.495755,10.0,10.0,27.175156,0.0,27.175156,72.824844,54.033266,0.801935,1.0
2026-08-10 13:08:26,297.12,2599,13,150.72,137.9681,8.7,256325.15625,,,,0.449014,5.421865,0.542186,3.9e-05,1.686196,10.0,10.0,1.935495,0.0,1.935495,98.064505,73.79212,0.878728,1.0
2026-08-10 13:09:03,334.09,2799,14,28.6344,130.1585,8.4,455873.125,,,,0.406275,3.456109,0.345611,3.9e-05,0.406259,1.0,10.0,35.978383,0.0,35.978383,64.021617,46.892834,0.823687,1.0
2026-08-10 13:09:40,371.0,2999,15,112.0433,128.9509,8.1,578760.75,,,,0.367604,4.16197,0.416197,4e-05,1.59015,10.0,10.0,3.236268,0.0,3.236268,96.763732,73.324317,0.938023,1.0
2026-08-10 13:10:17,408.09,3199,16,75.1763,125.5899,7.8,671794.0,,,,0.332613,4.68119,0.468119,3.7e-05,4.702724,10.0,10.0,27.701339,0.0,27.701339,72.298661,53.136563,0.859279,1.0
2026-08-10 13:10:54,445.05,3399,17,136.6351,126.2397,7.6,975545.625,,,,0.300953,5.373298,0.53733,3.8e-05,1.483267,10.0,10.0,0.929291,0.0,0.929291,99.070709,75.48383,0.948259,1.0
2026-08-10 13:11:31,481.96,3599,18,162.1583,128.2351,7.5,1041170.375,,,,0.272307,7.854752,0.785475,3.8e-05,0.04591,0.0,1.0,0.0,0.0,0.0,100.0,77.34144,0.928509,1.0
2026-08-10 13:12:08,519.03,3799,19,88.4988,126.1438,7.3,1052364.5,,,,0.246387,3.684805,0.368481,3.9e-05,1.409014,10.0,10.0,4.248339,0.0,4.248339,95.751661,73.256612,0.949226,1.0
2026-08-10 13:12:45,556.19,3999,20,-91.3828,115.2674,7.2,1110604.5,,,,0.222935,0.854044,0.085404,3.7e-05,5.412123,10.0,10.0,58.546576,0.0,58.546576,41.453424,28.606185,0.91753,1.0
2026-08-10 13:13:22,593.23,4199,21,53.3749,112.3202,7.1,1052572.375,,,,0.201715,2.610665,0.261067,3.8e-05,3.017385,10.0,10.0,11.981636,0.0,11.981636,88.018364,66.02055,0.959905,1.0
2026-08-10 13:13:59,630.29,4399,22,-16.8543,106.4486,7.0,930170.375,,,,0.182515,1.800532,0.180053,3.6e-05,0.509003,5.0,10.0,34.284384,0.0,34.284384,65.715616,48.884211,0.933126,1.0
2026-08-10 13:14:36,667.33,4599,23,135.4731,107.7105,6.9,1126035.625,,,,0.165142,6.513299,0.65133,3.8e-05,1.767696,10.0,10.0,25.82424,0.0,25.82424,74.17576,53.025316,0.787064,1.0
2026-08-10 13:15:14,704.52,4799,24,15.4301,103.8655,6.8,912124.375,,,,0.149423,5.025389,0.502539,1.93285,8.779807,10.0,10.0,68.598463,0.0,68.598463,31.401537,20.328787,0.588623,1.0
2026-08-10 13:15:51,741.76,4999,25,-38.6508,98.1649,6.7,839968.75,,,,0.1352,2.782926,0.278293,3.9e-05,5.400519,10.0,10.0,60.28956,0.0,60.28956,39.71044,28.255638,0.852157,1.0
2026-08-10 13:16:28,778.73,5199,26,190.0259,101.698,6.7,591656.4375,,,,0.122331,7.185564,0.718556,3.9e-05,0.223852,1.0,1.0,0.0,0.0,0.0,100.0,76.6336,0.858632,1.0
2026-08-10 13:17:05,815.86,5399,27,91.4242,101.3175,6.6,876674.25,,,,0.110687,4.965397,0.49654,3.9e-05,4.627592,10.0,10.0,30.78312,0.0,30.78312,69.21688,51.12178,0.759881,1.0
2026-08-10 13:17:42,852.77,5599,28,211.5911,105.2558,6.6,564687.25,,,,0.100151,7.968678,0.796868,3.7e-05,0.515185,1.0,2.0,0.0,0.0,0.0,100.0,76.919069,0.769798,1.0
2026-08-10 13:18:19,889.9,5799,29,104.4571,105.2283,6.5,391503.4375,,,,0.090618,6.156315,0.615632,3.7e-05,3.403196,10.0,10.0,36.089775,0.0,36.089775,63.910225,46.539481,0.798499,1.0
2026-08-10 13:18:56,927.02,5999,30,247.2676,109.9629,6.5,381131.625,,,,0.081993,9.574943,0.957494,3.8e-05,2.93614,10.0,10.0,11.056987,0.0,11.056987,88.943013,67.133663,0.726015,1.0
2026-08-10 13:19:33,964.01,6199,31,191.9019,112.6061,6.4,435414.21875,,,,0.074188,6.897926,0.689793,3.7e-05,0.233858,1.0,4.0,0.0,0.0,0.0,100.0,76.99456,0.807734,1.0
2026-08-10 13:20:10,1001.17,6399,32,52.7599,110.7359,6.4,416843.78125,,,,0.067127,3.951092,0.395109,3.7e-05,1.432396,10.0,10.0,27.379431,0.0,27.379431,72.620569,54.536822,0.834464,1.0
2026-08-10 13:20:47,1038.29,6599,33,184.5905,112.9739,6.4,478228.9375,,,,0.060737,6.515775,0.651578,1.934,1.435907,10.0,10.0,1.575852,0.0,1.575852,98.424148,74.913644,0.757608,1.0
2026-08-10 13:21:24,1075.35,6799,34,78.3019,111.9542,6.3,446194.28125,,,,0.054956,3.561029,0.356103,4.1e-05,2.531682,10.0,10.0,14.141951,0.0,14.141951,85.858049,64.79189,0.898685,1.0
2026-08-10 13:22:01,1112.47,6999,35,89.1383,111.3023,6.3,535608.4375,,,,0.05,4.18124,0.418124,3.5e-05,2.599211,10.0,10.0,17.810967,0.0,17.810967,82.189033,61.793205,0.789372,1.0
2026-08-10 13:22:39,1149.55,7199,36,18.1944,108.716,6.3,371319.59375,,,,0.05,2.27275,0.227275,3.8e-05,1.640697,10.0,10.0,25.123561,0.0,25.123561,74.876439,56.429523,0.876363,1.0
2026-08-10 13:23:16,1186.65,7399,37,86.3426,108.1113,6.2,429790.1875,,,,0.05,4.136228,0.413623,4e-05,2.255443,10.0,10.0,19.05118,0.0,19.05118,80.94882,60.917487,0.763585,1.0
2026-08-10 13:23:53,1223.82,7599,38,151.6462,109.2569,6.2,568024.375,,,,0.05,6.216925,0.621693,1.604934,0.938291,4.0,10.0,16.603155,0.0,16.603155,83.396845,63.348815,0.590195,1.0
2026-08-10 13:24:30,1260.83,7799,39,177.3021,111.0017,6.2,379867.0,,,,0.05,5.985835,0.598583,4.1e-05,1.413487,10.0,10.0,1.160961,0.0,1.160961,98.839039,75.684148,0.813505,1.0
2026-08-10 13:25:07,1297.79,7999,40,145.7764,111.871,6.2,582020.1875,,,,0.05,5.184645,0.518465,1.9199,1.471868,10.0,10.0,3.635611,0.0,3.635611,96.364389,73.821554,0.736705,1.0
2026-08-10 13:25:44,1334.77,8199,41,116.472,111.9833,6.1,384113.75,,,,0.05,3.885377,0.388538,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0,77.32096,0.955381,1.0
2026-08-10 13:26:21,1371.94,8399,42,19.8849,109.7904,6.1,439500.9375,,,,0.05,2.218343,0.221834,3.8e-05,5.826482,10.0,10.0,23.818344,0.0,23.818344,76.181656,56.095285,0.905721,1.0
2026-08-10 13:26:58,1408.95,8599,43,78.1263,109.0541,6.1,193809.65625,,,,0.05,3.187467,0.318747,3.7e-05,1.276767,10.0,10.0,7.619127,0.0,7.619127,92.380873,70.68128,0.875859,1.0
2026-08-10 13:27:35,1446.07,8799,44,206.4644,111.2679,6.1,204425.375,,,,0.05,8.634357,0.863436,4e-05,1.341918,10.0,10.0,9.880786,0.0,9.880786,90.119214,65.745687,0.79386,1.0
2026-08-10 13:28:12,1483.49,8999,45,287.9986,115.1953,6.1,198847.625,,,,0.05,12.766241,1.276624,4e-05,2.134866,9.0,10.0,9.822749,0.0,9.822749,90.177251,67.585154,0.867289,1.0
2026-08-10 13:28:50,1520.65,9199,46,133.496,115.5931,6.0,384947.1875,,,,0.05,8.494215,0.849421,4e-05,4.420588,10.0,10.0,58.480301,0.0,58.480301,41.519699,27.915469,0.633952,1.0
2026-08-10 13:29:27,1557.7,9399,47,159.9464,116.5368,6.0,134031.90625,,,,0.05,5.977045,0.597705,4e-05,1.843087,10.0,10.0,10.065249,0.0,10.065249,89.934751,68.523392,0.720271,1.0
2026-08-10 13:30:04,1594.75,9599,48,81.1123,115.7988,6.0,140696.46875,,,,0.05,3.372795,0.337279,3.6e-05,0.950242,10.0,10.0,10.156446,0.0,10.156446,89.843554,68.173533,0.855869,1.0
2026-08-10 13:30:41,1631.83,9799,49,44.4405,114.3425,6.0,159725.71875,,,,0.05,3.601967,0.360197,3.8e-05,2.420844,10.0,10.0,31.616507,0.0,31.616507,68.383493,50.454183,0.838033,1.0
2026-08-10 13:31:18,1668.9,9999,50,62.3125,113.3019,6.0,126181.570312,,,,0.05,5.185949,0.518595,4.1e-05,7.199986,10.0,10.0,48.647929,0.0,48.647929,51.352071,36.473878,0.719161,1.0
