wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-01 11:22:54,2.76,511,2,410.4918,410.4918,185.1,105.200806,0.0,210.44931,2.385122,,6.000526,0.600053,4.1e-05,1.561271,10.0,10.0,1.131658,8.411942,9.543601,90.456399,28.802112,0.688904,1.0
2026-08-01 11:22:57,5.36,1023,5,501.3831,455.9375,191.0,130.158051,-0.0,260.363831,2.387237,,7.075431,0.707543,4.1e-05,1.071936,10.0,10.0,1.772549,6.889412,8.661961,91.338039,28.997965,0.61813,1.0
2026-08-01 11:22:59,7.94,1535,7,700.4736,537.4495,193.4,274.746765,0.0,549.54126,2.386213,,9.413909,0.941391,4.2e-05,0.512052,6.0,8.0,0.0,1.153299,1.153299,98.846701,31.096615,0.581478,1.0
2026-08-01 11:23:02,10.16,2047,10,481.6235,523.493,201.4,148.963196,-0.0,297.974121,2.386776,,6.98384,0.698384,4.2e-05,1.167099,8.0,10.0,2.616949,6.934837,9.551786,90.448214,28.360748,0.670821,0.999425
2026-08-01 11:23:04,12.28,2559,12,498.0451,518.4034,208.5,173.80545,-0.0,347.65863,2.387116,,7.421776,0.742178,4.2e-05,0.789793,8.0,10.0,5.60758,7.031902,12.639481,87.360519,27.662044,0.669172,0.999425
2026-08-01 11:23:06,14.37,3071,15,797.7044,564.9536,213.6,365.954346,-0.0,731.956421,2.38501,,10.809347,1.080935,4.3e-05,0.18506,1.0,7.0,0.0,0.533954,0.533954,99.466046,32.04867,0.651744,0.999425
2026-08-01 11:23:08,16.47,3583,17,304.7446,527.7809,217.5,89.65657,0.0,179.360886,2.386976,,5.27118,0.527118,4.1e-05,1.125636,10.0,10.0,8.357783,11.432962,19.790745,80.209255,25.64896,0.670434,0.999425
2026-08-01 11:23:10,18.6,4095,20,346.1548,505.0776,220.1,67.352058,0.0,134.75177,2.38284,,5.351326,0.535133,4.1e-05,0.528917,5.0,10.0,6.038388,6.605022,12.64341,87.35659,27.919355,0.587476,0.999446
2026-08-01 11:23:12,20.74,4607,23,388.6247,492.1384,222.2,91.300789,0.0,182.649231,2.38283,,5.240883,0.524088,4e-05,0.670992,7.0,9.0,0.042118,2.834412,2.876531,97.123469,31.058293,0.665754,0.999446
2026-08-01 11:23:14,22.84,5119,25,475.6062,490.4852,224.1,151.548218,-0.0,303.144165,2.386167,,6.574444,0.657444,4.2e-05,0.347176,1.0,8.0,1.581794,2.560255,4.142049,95.857951,30.536703,0.665413,0.999446
2026-08-01 11:23:16,24.96,5631,28,624.4023,502.6595,225.6,249.427429,0.0,498.902527,2.383221,,8.519168,0.851917,4.1e-05,0.273154,0.0,8.0,1.589208,2.417342,4.00655,95.99345,30.676032,0.638188,0.999446
2026-08-01 11:23:19,27.06,6143,30,508.4618,503.143,227.0,175.629578,-0.0,351.306824,2.38383,,7.309675,0.730967,4.1e-05,0.709881,6.0,9.0,3.581871,4.782568,8.364439,91.635561,29.407907,0.647438,0.998684
2026-08-01 11:23:21,29.18,6655,33,419.7673,496.7295,228.1,95.266243,0.0,190.58017,2.384455,,6.068176,0.606818,4.2e-05,1.024187,6.0,9.0,3.967491,5.32928,9.296771,90.703229,28.997747,0.651546,0.998684
2026-08-01 11:23:23,31.32,7167,35,524.6671,498.725,228.8,152.66066,-0.0,305.369019,2.385284,,7.362784,0.736278,4.1e-05,0.597808,9.0,10.0,2.459182,5.436249,7.895431,92.104569,29.653968,0.645196,0.998684
2026-08-01 11:23:25,33.49,7679,38,641.2885,508.2292,229.3,228.208588,0.0,456.464844,2.382996,,8.567316,0.856732,4.2e-05,0.099704,0.0,1.0,0.935565,1.227251,2.162816,97.837184,31.456241,0.59626,0.998684
2026-08-01 11:23:27,35.65,8191,40,723.4202,521.6787,229.8,284.163879,-0.0,568.375488,2.387196,,9.795701,0.97957,4e-05,0.238292,1.0,10.0,1.707067,1.935194,3.642261,96.357739,31.070668,0.682343,0.998099
2026-08-01 11:23:29,37.8,8703,43,651.8443,529.3355,230.2,266.916107,-0.0,533.879883,2.384072,,9.004381,0.900438,4e-05,0.065654,1.0,1.0,0.0,0.0,0.0,100.0,32.138323,0.710347,0.998099
2026-08-01 11:23:31,39.98,9215,46,363.6388,520.1301,230.5,88.893173,0.0,177.834015,2.383703,,5.137711,0.513771,4.3e-05,1.300622,9.0,10.0,0.423795,6.033216,6.457011,93.542989,29.696697,0.752716,0.998099
