wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-09 15:17:13,0.04,199,1,-168.8108,-168.8108,5017.3,,,,,1.0,0.935875,0.093588,1664958.760539,12.3,87.7,0.542839
2026-07-09 15:17:13,0.07,399,2,-79.5875,-124.1992,5489.5,,,,,1.0,4.219838,0.421984,1073192.636954,8.5,91.5,0.513772
2026-07-09 15:17:13,0.11,599,3,-172.6976,-140.3653,5622.0,,,,,1.0,0.392347,0.039235,1334690.215718,11.6,88.4,0.404412
2026-07-09 15:17:13,0.15,799,4,-124.4392,-136.3838,5209.2,,,,,1.0,1.300944,0.130094,1253092.003906,9.1,90.9,0.472696
2026-07-09 15:17:14,0.9,999,5,-400.0,-189.107,1107.7,0.864068,,,,0.9995,0.96694,0.096694,5520991.459567,26.0,74.0,0.483009
2026-07-09 15:19:25,131.8,1199,6,-91.09,-172.7708,9.1,1.216474,,,,0.904362,2.509368,0.250937,1053907.664934,8.9,91.1,0.382107
2026-07-09 15:21:45,271.38,1399,7,-117.8578,-164.9261,5.2,1.221229,,,,0.81828,0.718833,0.071883,1130738.838867,7.9,92.1,0.544865
2026-07-09 15:24:05,412.03,1599,8,-58.8139,-151.6621,3.9,5.811059,,,,0.740392,4.622243,0.462224,996842.345908,10.2,89.8,0.350133
2026-07-09 15:26:25,552.21,1799,9,-377.1179,-176.7127,3.3,7.055799,,,,0.669918,2.850893,0.285089,6603301.718712,28.6,71.4,0.439982
2026-07-09 15:28:45,692.29,1999,10,48.0503,-154.2364,2.9,3.907419,,,,0.606152,5.554051,0.555405,471523.406814,4.8,95.2,0.511424
2026-07-09 15:31:06,833.0,2199,11,-201.06,-158.4931,2.6,3.022327,,,,0.548455,1.055592,0.105559,918063.113884,14.1,85.9,0.384275
2026-07-09 15:33:28,974.62,2399,12,-23.0437,-147.2057,2.5,2.007189,,,,0.49625,2.776979,0.277698,631272.427925,4.8,95.2,0.624909
2026-07-09 15:35:49,1115.69,2599,13,29.628,-133.6031,2.3,1.200167,,,,0.449014,3.548445,0.354844,486211.222694,4.4,95.6,0.441823
2026-07-09 15:38:09,1256.03,2799,14,54.2896,-120.1822,2.2,2.716978,,,,0.406275,4.66834,0.466834,441762.255201,3.9,96.1,0.466851
2026-07-09 15:40:30,1397.02,2999,15,-9.4919,-112.8028,2.1,3.242834,,,,0.367604,1.554342,0.155434,404984.317383,3.2,96.8,0.527011
2026-07-09 15:42:52,1538.81,3199,16,-46.052,-108.6309,2.1,2.576861,,,,0.332613,2.080254,0.208025,466356.964372,8.0,92.0,0.267756
2026-07-09 15:45:14,1680.66,3399,17,13.4469,-101.4499,2.0,4.192299,,,,0.300953,2.122877,0.212288,412918.011719,2.9,97.1,0.444827
2026-07-09 15:47:35,1821.65,3599,18,-155.3495,-104.4443,2.0,1.955713,,,,0.272307,0.823464,0.082346,344114.635701,12.1,87.9,0.307843
2026-07-09 15:49:56,1962.9,3799,19,139.7086,-91.5941,1.9,3.321382,,,,0.246387,8.38273,0.838273,533236.529078,5.7,94.3,0.308343
2026-07-09 15:52:18,2104.63,3999,20,-0.4528,-87.0371,1.9,3.507303,,,,0.222935,1.514785,0.151478,251131.945398,2.6,97.4,0.509929
2026-07-09 15:54:39,2245.84,4199,21,-400.0,-101.9401,1.9,3.038761,,,,0.201715,1.161615,0.116161,65019924.637637,38.2,61.8,0.488991
2026-07-09 15:57:01,2387.68,4399,22,-400.0,-115.4882,1.8,3.113709,,,,0.182515,3.173815,0.317382,84365631.36612,57.6,42.4,0.251568
2026-07-09 15:59:51,2557.69,4599,23,-243.8221,-121.068,1.8,3.374901,,,,0.165142,0.464788,0.046479,203596.86705,16.2,83.8,0.258301
2026-07-09 16:02:48,2735.13,4799,24,84.7353,-112.4928,1.8,3.93309,,,,0.149423,3.561479,0.356148,162554.030273,1.3,98.7,0.787848
2026-07-09 16:05:36,2902.9,4999,25,118.7711,-103.2423,1.7,5.850833,,,,0.1352,4.604618,0.460462,113616.356828,0.9,99.1,0.531707
2026-07-09 16:08:24,3071.16,5199,26,143.7502,-93.7426,1.7,5.985218,,,,0.122331,5.558937,0.555894,112440.003439,1.0,99.0,0.404354
2026-07-09 16:11:26,3252.72,5399,27,1.5116,-90.2146,1.7,6.679135,,,,0.110687,0.986999,0.0987,152038.113547,1.8,98.2,0.411597
2026-07-09 16:14:21,3427.99,5599,28,69.3806,-84.5148,1.6,2.545194,,,,0.100151,2.819126,0.281913,66750.285587,0.7,99.3,0.373715
2026-07-09 16:16:44,3570.86,5799,29,43.6953,-80.0938,1.6,2.19626,,,,0.090618,2.063111,0.206311,157692.239213,1.5,98.5,0.585759
2026-07-09 16:19:08,3714.8,5999,30,-9.4581,-77.7392,1.6,2.786058,,,,0.081993,0.396676,0.039668,143616.917627,1.4,98.6,0.496113
2026-07-09 16:21:30,3856.76,6199,31,7.3225,-74.9953,1.6,2.417414,,,,0.074188,0.595035,0.059503,63231.318359,0.5,99.5,0.912174
2026-07-09 16:23:51,3997.9,6399,32,6.4933,-72.4488,1.6,2.648058,,,,0.067127,0.709224,0.070922,111103.307617,0.8,99.2,0.584076
2026-07-09 16:26:14,4140.58,6599,33,-228.9612,-77.1916,1.6,6.285315,,,,0.060737,1.967204,0.19672,49843.432846,16.5,83.5,0.295292
