wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-16 09:02:36,0.04,199,1,-7.0669,-7.0669,4648.7,,,,,1.0,2.207457,0.220746,1597234.36566,11.9,88.1,0.514771
2026-07-16 09:02:36,0.08,399,2,161.2571,77.0951,4698.9,,,,,1.0,7.098272,0.709827,872462.954499,8.5,91.5,0.504201
2026-07-16 09:02:36,0.13,599,3,-36.1291,39.3537,4735.0,,,,,1.0,0.853315,0.085331,1324296.422541,10.6,89.4,0.424856
2026-07-16 09:02:36,0.17,799,4,26.3517,36.1032,4748.4,,,,,1.0,2.763482,0.276348,1185319.719783,9.1,90.9,0.486574
2026-07-16 09:02:36,0.52,999,5,-5.2409,27.8344,1935.0,0.21398,,,,0.9995,2.31299,0.231299,1130193.557667,19.0,81.0,0.484769
2026-07-16 09:03:03,27.82,1199,6,69.7105,34.8137,43.1,441.81781,,,,0.904362,4.135298,0.41353,940850.080718,8.9,91.1,0.466236
2026-07-16 09:03:30,54.38,1399,7,-4.9623,29.1315,25.7,5166.352539,,,,0.81828,1.480159,0.148016,1112903.967761,7.9,92.1,0.534127
2026-07-16 09:03:56,80.19,1599,8,112.9742,39.6118,19.9,21927.333984,,,,0.740392,5.522735,0.552274,920837.227868,8.9,91.1,0.372799
2026-07-16 09:04:22,106.32,1799,9,58.5793,41.7193,16.9,83098.382812,,,,0.669918,4.132604,0.41326,1129774.897611,14.1,85.9,0.500626
2026-07-16 09:04:48,132.4,1999,10,188.0756,56.3549,15.1,196629.0625,,,,0.606152,7.230577,0.723058,413051.893626,4.8,95.2,0.568934
2026-07-16 09:05:15,159.83,2199,11,12.692,52.3856,13.8,481294.25,,,,0.548455,1.727001,0.1727,776990.022398,7.2,92.8,0.422917
2026-07-16 09:05:43,187.38,2399,12,85.0228,55.1053,12.8,708874.375,,,,0.49625,3.821497,0.38215,556026.06041,4.8,95.2,0.68198
2026-07-16 09:06:10,214.26,2599,13,74.2199,56.5757,12.1,1405844.25,,,,0.449014,3.273705,0.32737,447175.437087,3.9,96.1,0.569811
2026-07-16 09:06:37,241.95,2799,14,30.4732,54.7112,11.6,2026161.125,,,,0.406275,5.478155,0.547815,722640.733397,25.4,74.6,0.528925
2026-07-16 09:07:05,269.94,2999,15,-121.298,42.9773,11.1,1795634.0,,,,0.367604,2.36406,0.236406,1298478.275049,36.2,63.8,0.592176
2026-07-16 09:07:33,297.22,3199,16,-214.4257,26.8896,10.8,1826493.25,,,,0.332613,3.230372,0.323037,2135159.447735,60.4,39.6,0.290363
2026-07-16 09:07:59,323.63,3399,17,37.3131,27.5027,10.5,850646.375,,,,0.300953,1.842008,0.184201,375609.406754,2.9,97.1,0.580134
