wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-25 17:02:46,13.35,511,2,406.9274,406.9274,38.3,94.731018,0.0,189.509903,2.39367,,5.510937,0.551094,6e-06,0.938934,6.0,9.0,0.465422,2.874023,3.339445,96.660555,30.645614,0.596534,1.0
2026-07-25 17:02:59,26.45,1023,5,466.2267,436.577,38.7,127.397964,-0.0,254.843796,2.393236,,6.319057,0.631906,5e-06,0.962173,5.0,9.0,0.704938,2.561429,3.266367,96.733633,30.94208,0.575852,1.0
2026-07-25 17:03:12,39.5,1535,7,555.5074,476.2205,38.9,168.180588,0.0,336.409027,2.393027,,7.492437,0.749244,4e-06,1.108797,6.0,9.0,0.36126,2.673326,3.034587,96.965413,30.806806,0.535943,1.0
2026-07-25 17:03:25,52.52,2047,10,732.018,540.1699,39.0,280.484528,0.0,561.016907,2.391996,,9.782828,0.978283,7e-06,0.301921,1.0,5.0,0.148441,0.516384,0.664824,99.335176,31.465108,0.496534,0.999038
2026-07-25 17:03:38,65.71,2559,12,546.0699,541.3499,38.9,160.644287,0.0,321.336395,2.391758,,7.394386,0.739439,8e-06,0.97876,6.0,10.0,0.635302,3.137001,3.772303,96.227697,30.304905,0.546072,0.999038
2026-07-25 17:03:51,78.83,3071,15,581.85,548.0999,39.0,234.890671,-0.0,469.829193,2.39224,,8.608875,0.860887,4e-06,0.632094,4.0,10.0,5.3629,6.026579,11.389479,88.610521,28.032846,0.586998,0.999038
2026-07-25 17:04:04,91.76,3583,17,872.3296,594.4184,39.0,415.641724,0.0,831.331238,2.390671,,11.638152,1.163815,7e-06,0.366267,2.0,5.0,0.032694,0.624309,0.657004,99.342996,31.81281,0.528301,0.999038
2026-07-25 17:04:17,104.81,4095,20,430.7717,573.9626,39.1,117.455833,-0.0,234.959503,2.391786,,6.43412,0.643412,3e-06,1.1065,7.0,10.0,4.81081,7.285251,12.096061,87.903939,28.02661,0.562387,0.998528
2026-07-25 17:04:30,117.84,4607,23,481.3601,563.6734,39.1,120.844398,0.0,241.736618,2.391079,,6.696356,0.669636,6e-06,0.747861,5.0,9.0,2.201909,4.112618,6.314527,93.685473,29.944386,0.517556,0.998528
2026-07-25 17:04:43,130.88,5119,25,359.6678,543.2728,39.1,72.078835,0.0,144.205475,2.390453,,4.784184,0.478418,8e-06,0.653319,5.0,8.0,0.040524,1.46511,1.505634,98.494366,31.530303,0.617064,0.998528
2026-07-25 17:04:56,143.76,5631,28,537.1499,542.7162,39.2,176.902145,-0.0,353.852081,2.389683,,7.098169,0.709817,7e-06,0.197681,1.0,2.0,0.219037,0.391138,0.610176,99.389824,31.659789,0.549113,0.998528
2026-07-25 17:05:09,156.75,6143,30,729.035,558.2428,39.2,316.679535,0.0,633.40686,2.389247,,9.874613,0.987461,9e-06,0.551291,3.0,9.0,1.323098,2.686763,4.009861,95.990139,30.721852,0.514803,0.997635
2026-07-25 17:05:22,169.88,6655,33,470.9596,551.5287,39.2,158.010941,-0.0,316.069672,2.38904,,6.539468,0.653947,7e-06,0.503689,3.0,8.0,2.766245,3.232728,5.998974,94.001026,30.051555,0.609483,0.997635
2026-07-25 17:05:35,182.89,7167,35,537.5171,550.5279,39.2,167.801086,0.0,335.649963,2.389704,,7.262563,0.726256,5e-06,0.741558,4.0,8.0,1.244195,2.435577,3.679771,96.320229,30.972574,0.551182,0.997635
2026-07-25 17:05:48,195.94,7679,38,626.6595,555.6033,39.2,186.627594,-0.0,373.302979,2.388945,,8.528044,0.852804,7e-06,0.745883,5.0,9.0,1.341305,3.39663,4.737934,95.262066,30.648701,0.51962,0.997635
2026-07-25 17:06:01,209.09,8191,40,683.1539,563.5752,39.2,242.498871,0.0,485.045502,2.387556,,9.00269,0.900269,9e-06,0.227344,1.0,2.0,0.0,0.055741,0.055741,99.944259,32.249046,0.522729,0.996789
2026-07-25 17:06:15,222.25,8703,43,734.325,573.6193,39.2,302.9375,-0.0,605.922791,2.388694,,9.863632,0.986363,4e-06,0.533059,2.0,8.0,0.804988,1.896918,2.701906,97.298094,31.272118,0.569081,0.996789
2026-07-25 17:06:28,235.32,9215,46,870.2138,590.0968,39.2,439.720856,0.0,879.489441,2.387695,,11.907767,1.190777,6e-06,0.268266,1.0,3.0,0.0,0.018713,0.018713,99.981287,31.98573,0.571844,0.996789
2026-07-25 17:06:41,248.41,9727,48,435.4801,581.9591,39.2,118.985466,0.0,238.018661,2.386658,,5.740516,0.574052,6e-06,0.558975,3.0,7.0,0.021852,0.828807,0.850659,99.149341,31.645743,0.619406,0.996789
2026-07-25 17:06:54,261.43,10239,51,305.2218,568.1222,39.2,53.605743,0.0,107.259209,2.386224,,4.155436,0.415544,8e-06,0.825834,6.0,9.0,0.246229,2.636828,2.883057,97.116943,31.053099,0.701626,0.995695
2026-07-25 17:07:07,274.55,10751,53,338.5553,557.1904,39.2,79.225243,-0.0,158.498184,2.384734,,4.410056,0.441006,8e-06,0.251994,1.0,3.0,0.0,0.023332,0.023332,99.976668,32.100387,0.727938,0.995695
2026-07-25 17:07:20,287.57,11263,56,272.9057,544.2684,39.2,40.401535,0.0,80.850761,2.384613,,3.735299,0.37353,6e-06,0.993561,5.0,9.0,0.566877,2.539236,3.106114,96.893886,30.758447,0.724756,0.995695
