wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-31 04:03:13,13.66,511,2,356.9942,356.9942,37.4,69.305916,0.0,138.659744,2.395385,,5.197829,0.519783,5e-06,1.349501,8.0,10.0,2.136859,6.242,8.378859,91.621141,29.094685,0.627284,1.0
2026-07-31 04:03:26,27.08,1023,5,489.8673,423.4308,37.8,138.494064,0.0,277.036011,2.394862,,6.709571,0.670957,5e-06,1.143719,7.0,10.0,0.688707,4.260303,4.949011,95.050989,30.261088,0.550646,1.0
2026-07-31 04:03:39,40.49,1535,7,632.6581,493.1732,37.9,212.383774,-0.0,424.81543,2.394572,,8.537046,0.853705,6e-06,0.765786,6.0,10.0,0.693876,3.606268,4.300145,95.699855,30.32452,0.500343,1.0
2026-07-31 04:03:53,53.83,2047,10,676.0281,538.8869,38.0,257.041321,0.0,514.130554,2.394212,,9.093272,0.909327,6e-06,0.395629,3.0,6.0,0.107311,0.623353,0.730664,99.269336,31.274743,0.539402,0.999206
2026-07-31 04:04:06,67.11,2559,12,521.6719,535.4439,38.1,171.701736,0.0,343.451355,2.394168,,7.643843,0.764384,5e-06,0.932712,7.0,10.0,5.23918,7.188054,12.427234,87.572766,27.583009,0.515216,0.999206
2026-07-31 04:04:19,80.5,3071,15,684.7857,560.3342,38.2,280.646484,0.0,561.34082,2.393902,,9.45323,0.945323,4e-06,0.571491,4.0,8.0,1.252701,2.301838,3.554539,96.445461,30.702159,0.587801,0.999206
2026-07-31 04:04:33,93.78,3583,17,876.6756,605.5258,38.2,414.569427,-0.0,829.186707,2.393255,,11.67419,1.167419,6e-06,0.07154,1.0,1.0,0.0,0.0,0.0,100.0,32.192197,0.5114,0.999206
2026-07-31 04:04:46,107.14,4095,20,294.9384,566.7024,38.2,57.980022,0.0,116.007912,2.393408,,5.185007,0.518501,2e-06,1.477325,9.0,10.0,8.516121,11.738773,20.254894,79.745106,25.338262,0.564513,0.998803
2026-07-31 04:04:59,120.39,4607,23,433.0104,551.8477,38.3,104.415161,0.0,208.878174,2.392909,,6.033627,0.603363,7e-06,0.367632,1.0,10.0,2.508793,3.139104,5.647897,94.352103,30.298057,0.53653,0.998803
2026-07-31 04:05:13,133.79,5119,25,386.7509,535.3381,38.3,87.161423,-0.0,174.370697,2.392335,,5.141369,0.514137,8e-06,0.476886,4.0,8.0,0.170694,1.736693,1.907387,98.092613,31.272316,0.610453,0.998803
