wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-09 15:16:49,3.3,511,2,-368.2374,-368.2374,154.8,67.382454,-0.0,134.81279,2.394124,,2.076519,0.207652,1354344.086389,10.898438,89.101562,0.494496
2026-07-09 15:16:52,6.32,1023,5,-653.1351,-510.6862,161.9,240.855148,0.0,481.758209,2.39493,,1.086452,0.108645,4311643.578196,17.304688,82.695312,0.463826
2026-07-09 15:16:55,9.43,1535,7,-359.7521,-460.3748,162.9,73.284668,0.0,146.617249,2.395671,,2.424667,0.242467,1427696.384248,11.210938,88.789062,0.42697
2026-07-09 15:16:58,12.5,2047,10,-526.7317,-476.9641,163.8,211.84494,-0.0,423.737793,2.396015,,4.375347,0.437535,1842535.182915,18.242188,81.757812,0.432529
2026-07-09 15:17:01,15.54,2559,12,-320.2743,-445.6261,164.6,53.877163,-0.0,107.802246,2.396073,,2.257274,0.225727,1170109.369375,11.289062,88.710938,0.467034
2026-07-09 15:17:04,18.49,3071,15,-348.958,-429.5148,166.1,59.012733,-0.0,118.073387,2.396155,,2.676412,0.267641,1490781.489946,11.210938,88.789062,0.43966
2026-07-09 15:17:07,21.54,3583,17,-441.5331,-431.2317,166.4,101.696587,-0.0,203.441086,2.395935,,1.305513,0.130551,1320118.792174,12.851562,87.148438,0.353829
2026-07-09 15:17:10,24.6,4095,20,-425.434,-430.507,166.4,112.938011,-0.0,225.923935,2.395779,,3.250477,0.325048,3545944.99342,14.804688,85.195312,0.381362
2026-07-09 15:17:13,27.68,4607,23,-1013.3699,-495.2695,166.4,474.406708,0.0,948.861328,2.395278,,1.636976,0.163698,14882312.42895,35.195312,64.804688,0.307508
2026-07-09 15:17:18,32.26,5119,25,-197.9865,-465.5412,158.7,21.297953,-0.0,42.643806,2.395146,,2.979792,0.297979,1010446.738559,7.96875,92.03125,0.515331
2026-07-09 15:17:22,36.99,5631,28,-268.6536,-447.6423,152.2,36.800644,-0.0,73.64917,2.394274,,2.048788,0.204879,1044340.028212,8.320312,91.679688,0.411103
2026-07-09 15:17:27,41.73,6143,30,-296.031,-435.0081,147.2,42.084145,-0.0,84.216148,2.393045,,0.922366,0.092237,1013886.128629,8.085938,91.914062,0.515133
2026-07-09 15:17:32,46.47,6655,33,-321.3501,-426.2651,143.2,55.425854,0.0,110.899551,2.392155,,1.009706,0.100971,913060.189523,9.21875,90.78125,0.437581
2026-07-09 15:17:39,53.21,7167,35,-587.6282,-437.7911,134.7,208.097061,-0.0,416.241943,2.391277,,1.497514,0.149751,3708979.554511,16.171875,83.828125,0.355055
2026-07-09 15:17:45,60.15,7679,38,-233.8309,-424.1937,127.7,30.348503,0.0,60.744812,2.390373,,2.48769,0.248769,5233510.971666,8.710938,91.289062,0.419754
2026-07-09 15:17:52,67.1,8191,40,-150.1044,-407.0631,122.1,16.697277,-0.0,33.442333,2.389001,,3.42618,0.342618,832919.338859,7.5,92.5,0.377644
2026-07-09 15:17:59,74.01,8703,43,-516.9083,-413.5246,117.6,202.643616,-0.0,405.334961,2.386929,,1.464235,0.146424,6242077.215268,15.3125,84.6875,0.416379
2026-07-09 15:18:06,80.97,9215,46,-234.1148,-403.5574,113.8,23.669621,-0.0,47.38694,2.384938,,1.158395,0.115839,843386.828779,6.445312,93.554688,0.522962
2026-07-09 15:18:13,87.9,9727,48,-270.0454,-396.5305,110.7,36.530228,0.0,73.108109,2.382763,,0.493719,0.049372,745549.33508,6.875,93.125,0.559776
2026-07-09 15:18:20,94.87,10239,51,-224.7716,-387.9425,107.9,25.829464,0.0,51.706543,2.38084,,0.7602,0.07602,715623.907053,6.09375,93.90625,0.459621
2026-07-09 15:18:27,101.87,10751,53,-124.1058,-375.3789,105.5,8.468662,0.0,16.98493,2.380238,,2.104376,0.210438,677379.074979,5.664062,94.335938,0.371783
2026-07-09 15:18:34,108.76,11263,56,-252.8225,-369.8081,103.6,45.272507,-0.0,90.592552,2.377055,,1.526752,0.152675,596556.822041,8.359375,91.640625,0.417908
2026-07-09 15:18:41,115.72,11775,58,-94.0519,-357.8187,101.8,11.417234,-0.0,22.881958,2.374488,,2.626576,0.262658,622791.174561,5.117188,94.882812,0.416068
2026-07-09 15:18:48,122.68,12287,61,-252.4565,-353.4286,100.2,80.027603,-0.0,160.102646,2.372157,,2.21366,0.221366,757898.472168,8.242188,91.757812,0.457348
2026-07-09 15:18:55,129.57,12799,64,-316.9751,-351.9705,98.8,102.403061,-0.0,204.853516,2.369874,,2.33481,0.233481,3330194.550341,9.257812,90.742188,0.453772
2026-07-09 15:19:02,136.53,13311,66,-133.8092,-343.5797,97.5,12.060482,-0.0,24.168283,2.365998,,1.52617,0.152617,536459.685889,4.84375,95.15625,0.433078
2026-07-09 15:19:09,143.54,13823,69,-270.1185,-340.8589,96.3,61.275703,-0.0,122.598686,2.364044,,2.046059,0.204606,485574.387539,8.828125,91.171875,0.384613
2026-07-09 15:19:16,150.38,14335,71,90.9597,-325.4368,95.3,13.361774,0.0,26.770807,2.362957,,5.095254,0.509525,419224.676412,4.570312,95.429688,0.427694
2026-07-09 15:19:23,157.38,14847,74,-39.9214,-315.5914,94.3,14.750682,0.0,29.548553,2.359448,,3.216517,0.321652,407363.54007,5.46875,94.53125,0.43943
2026-07-09 15:19:30,164.25,15359,76,-7.6611,-305.3271,93.5,3.648406,-0.0,7.343915,2.35516,,3.062383,0.306238,395335.194904,4.101562,95.898438,0.385579
2026-07-09 15:19:36,171.19,15871,79,-419.4692,-309.0091,92.7,190.58017,-0.0,381.207336,2.35042,,1.261547,0.126155,1339436.005518,10.742188,89.257812,0.36645
2026-07-09 15:19:43,178.06,16383,81,-13.3293,-299.7691,92.0,2.258554,-0.0,4.564067,2.348022,,1.856031,0.185603,306854.184754,2.65625,97.34375,0.446258
2026-07-09 15:19:50,184.91,16895,84,-89.8642,-293.4083,91.4,5.585544,0.0,11.218005,2.34587,,1.643586,0.164359,330116.740608,4.6875,95.3125,0.331074
2026-07-09 15:19:57,191.8,17407,87,12.0959,-284.4229,90.8,2.882753,-0.0,5.812374,2.343405,,2.016522,0.201652,300816.318737,2.421875,97.578125,0.403723
2026-07-09 15:20:04,198.77,17919,89,-71.8504,-278.3494,90.1,3.86909,0.0,7.784969,2.339456,,1.042848,0.104285,335495.067279,3.164062,96.835938,0.549307
2026-07-09 15:20:11,205.67,18431,92,-203.1185,-276.2597,89.6,44.992035,0.0,90.030815,2.337199,,1.199553,0.119955,236707.454021,6.09375,93.90625,0.455377
