wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-22 08:35:08,7.62,511,2,388.3777,388.3777,67.1,86.538498,-0.0,173.124863,2.393129,,5.408552,0.540855,3e-06,1.592951,8.0,10.0,0.733999,5.141112,5.875111,94.124889,29.954308,0.59773,1.0
2026-07-22 08:35:16,14.9,1023,5,544.9553,466.6665,68.6,163.861557,0.0,327.770966,2.392554,,7.323922,0.732392,3e-06,1.086641,7.0,10.0,0.220626,3.204556,3.425183,96.574817,30.637444,0.555368,1.0
2026-07-22 08:35:23,22.21,1535,7,713.3569,548.8966,69.1,272.408661,0.0,544.865173,2.391299,,9.565103,0.95651,7e-06,0.362942,1.0,9.0,0.345628,2.135316,2.480943,97.519057,30.886171,0.486304,1.0
2026-07-22 08:35:30,29.61,2047,10,544.0106,547.6751,69.1,160.83905,0.0,321.725922,2.390999,,7.365967,0.736597,6e-06,0.812389,5.0,10.0,0.604463,2.785581,3.390045,96.609955,30.453073,0.554,0.999147
2026-07-22 08:35:38,36.9,2559,12,578.4148,553.8231,69.3,209.891281,-0.0,419.830383,2.391301,,8.480322,0.848032,4e-06,0.330738,1.0,10.0,6.40607,6.354014,12.760084,87.239916,27.565786,0.508283,0.999147
2026-07-22 08:35:45,44.31,3071,15,781.304,591.7366,69.3,337.462524,-0.0,674.972839,2.389819,,10.61739,1.061739,6e-06,0.503151,4.0,7.0,0.00156,0.984384,0.985944,99.014056,31.655357,0.583993,0.999147
2026-07-22 08:35:52,51.51,3583,17,558.7877,587.0296,69.6,235.259293,0.0,470.566376,2.389256,,8.430733,0.843073,4e-06,0.699916,9.0,10.0,6.816628,8.820605,15.637234,84.362766,27.011398,0.525084,0.999147
2026-07-22 08:36:00,58.94,4095,20,418.6367,565.9805,69.5,99.255524,-0.0,198.558838,2.389168,,6.254653,0.625465,5e-06,0.756164,8.0,10.0,4.934108,6.93417,11.868279,88.131721,28.245679,0.52476,0.998989
2026-07-22 08:36:07,66.2,4607,23,352.7395,542.287,69.6,70.165161,0.0,140.378082,2.387882,,4.672383,0.467238,5e-06,0.481567,5.0,7.0,0.0,1.125867,1.125867,98.874133,31.709913,0.632079,0.998989
2026-07-22 08:36:14,73.58,5119,25,530.3811,541.0964,69.6,161.950272,-0.0,323.948273,2.386498,,6.972909,0.697291,6e-06,0.016728,0.0,1.0,0.0,0.0,0.0,100.0,31.923021,0.537799,0.998989
2026-07-22 08:36:22,80.9,5631,28,592.8814,545.8042,69.6,216.791245,0.0,433.630188,2.385536,,8.213428,0.821343,7e-06,0.631547,6.0,10.0,1.928396,3.852104,5.7805,94.2195,30.041209,0.534132,0.998989
2026-07-22 08:36:29,88.28,6143,30,598.204,550.1708,69.6,231.467926,0.0,462.983551,2.384715,,8.383367,0.838337,7e-06,0.167991,1.0,3.0,3.680095,3.153034,6.833129,93.166871,29.933529,0.536635,0.998131
2026-07-22 08:36:37,95.72,6655,33,488.5364,545.4297,69.5,142.991272,-0.0,286.030243,2.385282,,6.547002,0.6547,4e-06,0.528131,4.0,6.0,0.816783,1.436358,2.253141,97.746859,31.33809,0.578326,0.998131
2026-07-22 08:36:44,103.05,7167,35,510.2411,542.9162,69.6,142.865555,0.0,285.778809,2.384276,,7.311464,0.731146,4e-06,0.779044,7.0,10.0,3.801201,5.597032,9.398234,90.601766,29.070485,0.520017,0.998131
2026-07-22 08:36:51,110.42,7679,38,649.5015,550.0219,69.5,211.414322,0.0,422.876282,2.382214,,8.589491,0.858949,5e-06,0.10065,0.0,1.0,0.193388,0.510543,0.703931,99.296069,32.100565,0.522448,0.998131
2026-07-22 08:36:58,117.68,8191,40,746.2778,562.2879,69.6,297.79425,0.0,595.636169,2.382284,,10.154963,1.015496,3e-06,0.422385,2.0,10.0,1.729782,3.073271,4.803053,95.196947,30.611793,0.528282,0.997357
2026-07-22 08:37:06,125.13,8703,43,855.4205,579.531,69.6,441.827271,0.0,883.702148,2.381249,,11.659519,1.165952,5e-06,0.065367,1.0,1.0,0.0,0.0,0.0,100.0,32.13432,0.563768,0.997357
2026-07-22 08:37:13,132.4,9215,46,505.6712,575.4277,69.6,148.248138,-0.0,296.543884,2.379743,,6.61835,0.661835,6e-06,0.204521,1.0,3.0,0.0,0.0,0.0,100.0,31.873894,0.586674,0.997357
2026-07-22 08:37:21,139.89,9727,48,282.07,559.9878,69.5,52.667614,0.0,105.38279,2.37826,,3.980933,0.398093,5e-06,1.132377,8.0,10.0,0.288396,4.701627,4.990023,95.009977,30.330774,0.694383,0.997357
2026-07-22 08:37:28,147.24,10239,51,342.2548,549.1012,69.5,75.698502,-0.0,151.44455,2.377518,,4.533255,0.453326,5e-06,0.231222,1.0,8.0,0.113502,0.848933,0.962435,99.037565,31.848913,0.689869,0.996293
2026-07-22 08:37:35,154.62,10751,53,268.4185,535.7353,69.5,47.628719,-0.0,95.30497,2.376624,,3.689242,0.368924,4e-06,0.945717,7.0,9.0,0.156028,3.120563,3.276591,96.723409,30.860929,0.717941,0.996293
2026-07-22 08:37:43,161.95,11263,56,258.9586,523.1546,69.5,43.901222,0.0,87.849968,2.376122,,4.291343,0.429134,3e-06,1.293832,6.0,10.0,6.582699,7.344049,13.926748,86.073252,27.199073,0.646317,0.996293
2026-07-22 08:37:50,169.29,11775,58,562.234,524.8537,69.6,177.755081,-0.0,355.557678,2.375862,,7.463363,0.746336,4e-06,0.655243,6.0,8.0,0.007818,1.882603,1.890421,98.109579,31.238245,0.535897,0.996293
2026-07-22 08:37:57,176.65,12287,61,829.3412,537.5406,69.6,358.656189,0.0,717.359802,2.372561,,11.206941,1.120694,8e-06,0.266094,1.0,8.0,0.113527,1.113496,1.227022,98.772978,31.68317,0.495301,0.995564
2026-07-22 08:38:05,184.12,12799,64,853.4779,550.1781,69.5,360.341431,0.0,720.730347,2.37365,,11.435363,1.143536,6e-06,0.251832,1.0,9.0,0.131773,1.360085,1.491858,98.508142,31.380914,0.476492,0.995564
2026-07-22 08:38:12,191.5,13311,66,769.6718,558.6202,69.5,295.253906,0.0,590.555298,2.373173,,10.108822,1.010882,5e-06,0.105842,1.0,2.0,0.0,0.0,0.0,100.0,31.949182,0.483196,0.995564
