wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-25 17:02:33,0.37,199,1,265.5318,265.5318,540.3,0.101819,,,,0.9995,8.890284,0.889028,8e-06,0.271388,1.0,2.0,0.0,0.0,0.0,100.0,31.705792,0.497472,1.0
2026-07-25 17:03:29,56.83,399,2,191.3082,228.42,7.0,37.589142,,,,0.904362,6.470731,0.647073,6e-06,0.408345,2.0,5.0,0.0,0.173143,0.173143,99.826857,31.68768,0.562202,1.0
2026-07-25 17:04:26,113.48,599,3,150.3332,202.3911,5.3,383.460938,,,,0.81828,5.489991,0.548999,4e-06,0.901873,8.0,10.0,1.862033,5.602151,7.464184,92.535816,29.351479,0.513142,1.0
2026-07-25 17:05:23,170.73,799,4,128.5881,183.9403,4.7,1310.219971,,,,0.740392,4.812526,0.481253,1e-06,1.508216,9.0,10.0,1.977503,6.524959,8.502462,91.497538,29.012544,0.523226,1.0
2026-07-25 17:06:20,227.94,999,5,194.0646,185.9652,4.4,3533.618652,,,,0.669918,6.860683,0.686068,1e-06,0.818016,5.0,8.0,0.0,1.391263,1.391263,98.608737,31.617108,0.431133,1.0
2026-07-25 17:07:18,285.45,1199,6,182.1712,185.3328,4.2,7656.236816,,,,0.606152,6.577933,0.657793,2e-06,0.732123,7.0,9.0,0.402006,3.013055,3.415061,96.584939,30.954038,0.413864,1.0
2026-07-25 17:08:15,342.7,1399,7,155.8217,181.117,4.1,13182.484375,,,,0.548455,5.577399,0.55774,1e-06,1.253436,7.0,10.0,0.521167,4.341725,4.862893,95.137107,30.189118,0.411658,1.0
2026-07-25 17:09:12,399.87,1599,8,234.1705,187.7487,4.0,23019.371094,,,,0.49625,8.400457,0.840046,1e-06,0.485552,3.0,5.0,0.0,0.320693,0.320693,99.679307,31.717063,0.377676,1.0
2026-07-25 17:10:10,457.8,1799,9,240.3385,193.592,3.9,31567.832031,,,,0.449014,8.670116,0.867012,1e-06,0.870647,7.0,10.0,0.526485,4.360582,4.887067,95.112933,30.108738,0.353735,1.0
2026-07-25 17:11:08,515.66,1999,10,238.5363,198.0864,3.9,54230.957031,,,,0.406275,8.611292,0.861129,5e-06,0.064606,1.0,1.0,0.0,0.0,0.0,100.0,31.60064,0.376347,0.999079
