wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-06 09:23:12,1.03,511,2,512.2537,512.2537,497.5,151.977158,0.0,304.001862,2.377601,,7.179745,0.717975,6e-06,1.848508,10.0,10.0,6.944272,0.0,6.944272,93.055728,70.086933,0.54105,1.0
2026-08-06 09:23:13,1.84,1023,5,304.9253,408.5895,554.7,63.87368,0.0,127.794998,2.381881,,5.448916,0.544892,3e-06,3.445947,10.0,10.0,22.248866,0.0,22.248866,77.751134,57.750291,0.591268,1.0
2026-08-06 09:23:14,2.86,1535,7,396.3905,404.5231,537.1,93.134827,0.0,186.317261,2.380567,,6.496837,0.649684,2e-06,3.628291,10.0,10.0,19.855464,0.0,19.855464,80.144536,59.695454,0.546851,1.0
2026-08-06 09:23:15,3.88,2047,10,654.4786,467.012,527.6,217.573837,0.0,435.195221,2.377243,,9.087372,0.908737,5e-06,1.290009,9.0,10.0,6.431354,0.0,6.431354,93.568646,70.770887,0.478662,1.0
2026-08-06 09:23:16,4.95,2559,12,614.3072,496.471,517.3,214.966003,-0.0,429.979584,2.378213,,9.028621,0.902862,5e-06,1.773974,10.0,10.0,12.431844,0.0,12.431844,87.568156,65.590044,0.496266,1.0
2026-08-06 09:23:17,5.99,3071,15,478.1889,493.424,512.8,146.622314,0.0,293.292236,2.380231,,7.371337,0.737134,3e-06,1.888599,10.0,10.0,16.233319,0.0,16.233319,83.766681,62.686153,0.532567,1.0
2026-08-06 09:23:18,7.01,3583,17,799.2647,537.1155,511.0,388.651489,0.0,777.350586,2.379252,,11.338089,1.133809,3e-06,2.40956,10.0,10.0,6.661286,0.0,6.661286,93.338714,70.383337,0.54342,1.0
2026-08-06 09:23:19,8.03,4095,20,644.0839,550.4866,509.8,269.595581,0.0,539.238708,2.377365,,9.27065,0.927065,5e-06,1.848027,10.0,10.0,10.385711,0.0,10.385711,89.614289,66.99614,0.51278,1.0
2026-08-06 09:23:20,9.11,4607,23,346.2528,527.7939,505.6,72.88076,0.0,145.809174,2.382413,,6.175981,0.617598,2e-06,3.528902,10.0,10.0,25.210531,0.0,25.210531,74.789469,56.383888,0.522225,1.0
2026-08-06 09:23:21,10.13,5119,25,367.5729,511.7718,505.1,84.474876,0.0,168.997345,2.37942,,5.253302,0.52533,4e-06,1.562439,10.0,10.0,7.206475,0.0,7.206475,92.793525,70.299636,0.568154,1.0
2026-08-06 09:23:22,11.12,5631,28,421.3,503.5471,506.4,104.622704,0.0,209.292969,2.377898,,5.71823,0.571823,6e-06,1.228952,9.0,10.0,3.579509,0.0,3.579509,96.420491,73.583374,0.56601,1.0
2026-08-06 09:23:23,12.11,6143,30,620.6468,513.3054,507.1,237.326569,0.0,474.700684,2.377868,,8.835986,0.883599,5e-06,1.034326,8.0,10.0,9.030549,0.0,9.030549,90.969451,69.15954,0.50567,1.0
2026-08-06 09:23:24,13.05,6655,33,520.4894,513.858,509.8,177.138168,-0.0,354.323883,2.377187,,7.581078,0.758108,6e-06,0.990837,9.0,10.0,10.131893,0.0,10.131893,89.868107,68.135856,0.532835,1.0
2026-08-06 09:23:25,14.08,7167,35,553.0474,516.6573,509.0,190.978638,-0.0,382.004883,2.379758,,8.126765,0.812676,3e-06,2.741485,10.0,10.0,12.383933,0.0,12.383933,87.616067,66.002476,0.546638,1.0
2026-08-06 09:23:26,15.08,7679,38,510.1091,516.2207,509.3,131.685608,-0.0,263.418823,2.380303,,7.77176,0.777176,4e-06,2.416279,10.0,10.0,16.311703,0.0,16.311703,83.688297,62.648261,0.499847,1.0
2026-08-06 09:23:27,16.13,8191,40,575.9925,519.9565,507.7,183.098465,0.0,366.244476,2.376734,,7.97824,0.797824,4e-06,1.46686,10.0,10.0,5.675168,0.0,5.675168,94.324832,72.282832,0.547235,1.0
2026-08-06 09:23:28,17.17,8703,43,707.4766,530.9871,506.8,273.083771,0.0,546.215149,2.378954,,9.997348,0.999735,3e-06,2.420168,10.0,10.0,9.50433,0.0,9.50433,90.49567,67.772033,0.498318,1.0
2026-08-06 09:23:30,18.22,9215,46,894.044,551.1569,505.9,466.462769,-0.0,932.973083,2.377823,,12.503195,1.25032,4e-06,2.092088,10.0,10.0,3.975765,0.0,3.975765,96.024235,73.579577,0.568595,1.0
2026-08-06 09:23:31,19.25,9727,48,518.4258,549.4342,505.3,165.248962,0.0,330.545471,2.377164,,7.274566,0.727457,4e-06,2.020447,10.0,10.0,7.939719,0.0,7.939719,92.060281,69.67128,0.541817,1.0
2026-08-06 09:23:32,20.29,10239,51,320.7278,537.9989,504.7,65.312859,0.0,130.673248,2.376569,,4.824782,0.482478,5e-06,1.765061,10.0,10.0,9.878776,0.0,9.878776,90.121224,67.111329,0.623403,1.0
2026-08-06 09:23:33,21.33,10751,53,279.8076,525.7041,504.0,60.131065,0.0,120.309692,2.378063,,4.314762,0.431476,3e-06,2.916753,10.0,10.0,10.530352,0.0,10.530352,89.469648,68.190343,0.685871,1.0
2026-08-06 09:23:34,22.37,11263,56,247.2956,513.0491,503.5,39.603546,0.0,79.254639,2.377505,,3.905007,0.390501,4e-06,2.766955,10.0,10.0,10.710267,0.0,10.710267,89.289733,66.897629,0.674028,1.0
2026-08-06 09:23:35,23.44,11775,58,195.1691,499.2283,502.3,32.804176,0.0,65.655937,2.379058,,4.15551,0.415551,3e-06,2.961396,10.0,10.0,24.625318,0.0,24.625318,75.374682,56.134063,0.648322,1.0
2026-08-06 09:23:36,24.49,12287,61,446.7609,497.0421,501.7,111.515236,0.0,223.078033,2.378408,,6.285176,0.628518,4e-06,2.442678,10.0,10.0,6.977849,0.0,6.977849,93.022151,69.898667,0.560926,1.0
2026-08-06 09:23:37,25.47,12799,64,835.3343,510.5738,502.5,363.885742,0.0,727.81897,2.374524,,11.589217,1.158922,7e-06,0.705704,3.0,10.0,4.220255,0.0,4.220255,95.779745,73.912647,0.476002,1.0
2026-08-06 09:23:38,26.49,13311,66,858.4793,523.9548,502.4,385.460663,0.0,770.968872,2.377126,,11.966997,1.1967,5e-06,1.309521,9.0,10.0,5.11666,0.0,5.11666,94.88334,72.07697,0.483082,1.0
2026-08-06 09:23:39,27.52,13823,69,731.9123,531.6569,502.3,269.700684,0.0,539.448914,2.377443,,10.079879,1.007988,5e-06,1.460015,10.0,10.0,5.813165,0.0,5.813165,94.186835,71.365932,0.488475,1.0
2026-08-06 09:23:40,28.52,14335,71,830.1497,542.3174,502.6,363.455231,-0.0,726.957947,2.37454,,11.160395,1.11604,7e-06,0.344326,2.0,4.0,0.0,0.0,0.0,100.0,76.807644,0.493918,1.0
2026-08-06 09:23:41,29.55,14847,74,749.4328,549.4593,502.5,289.55127,0.0,579.150085,2.377936,,9.95634,0.995634,3e-06,2.144839,9.0,10.0,1.827449,0.0,1.827449,98.172551,74.826794,0.515504,1.0
2026-08-06 09:23:42,30.57,15359,76,652.8538,552.9058,502.4,208.518448,0.0,417.084473,2.378657,,9.650621,0.965062,3e-06,3.006939,10.0,10.0,16.702156,0.0,16.702156,83.297844,62.331011,0.462758,1.0
2026-08-06 09:23:43,31.62,15871,79,698.3838,557.5986,501.9,247.002426,-0.0,494.052399,2.377103,,9.606294,0.960629,4e-06,1.970543,10.0,10.0,5.790534,0.0,5.790534,94.209466,71.171787,0.455814,1.0
2026-08-06 09:23:44,32.6,16383,81,632.1351,559.9279,502.5,234.716034,-0.0,469.479553,2.374935,,8.904348,0.890435,6e-06,1.006404,9.0,10.0,6.534002,0.0,6.534002,93.465998,71.186209,0.501943,1.0
2026-08-06 09:23:45,33.67,16895,84,614.6785,561.587,501.8,192.253281,0.0,384.554108,2.377864,,8.40629,0.840629,4e-06,1.891961,10.0,10.0,5.929467,0.0,5.929467,94.070533,70.766084,0.486788,1.0
2026-08-06 09:23:46,34.7,17407,87,472.8205,558.9762,501.7,131.204056,-0.0,262.455658,2.377289,,6.949309,0.694931,4e-06,2.308907,10.0,10.0,11.322408,0.0,11.322408,88.677592,67.071539,0.560932,1.0
2026-08-06 09:23:47,35.72,17919,89,621.757,560.7699,501.6,199.04892,0.0,398.145355,2.376296,,8.34732,0.834732,5e-06,1.335827,9.0,10.0,3.140643,0.0,3.140643,96.859357,74.284804,0.469654,1.0
2026-08-06 09:23:48,36.76,18431,92,662.8699,563.6061,501.4,260.490234,-0.0,521.028015,2.377609,,9.341414,0.934141,5e-06,1.921237,10.0,10.0,6.945184,0.0,6.945184,93.054816,69.789559,0.527806,1.0
2026-08-06 09:23:49,37.81,18943,94,468.6871,561.0407,501.0,133.750687,0.0,267.54892,2.376974,,6.837765,0.683776,4e-06,2.243686,10.0,10.0,10.096981,0.0,10.096981,89.903019,68.483065,0.542902,1.0
2026-08-06 09:23:50,38.85,19455,97,530.6238,560.2402,500.8,149.075729,0.0,298.199005,2.37694,,7.486576,0.748658,5e-06,2.803701,10.0,10.0,7.940324,0.0,7.940324,92.059676,69.908935,0.508145,1.0
2026-08-06 09:23:51,39.86,19967,99,996.4129,571.4241,500.9,471.06665,0.0,942.180847,2.375936,,13.774399,1.37744,5e-06,0.937191,6.0,10.0,5.012113,0.0,5.012113,94.987887,72.633758,0.447299,1.0
2026-08-06 09:23:52,40.91,20479,102,985.1603,581.7675,500.6,440.069397,0.0,880.18634,2.376404,,13.881441,1.388144,6e-06,1.821426,10.0,10.0,6.705501,0.0,6.705501,93.294499,70.745264,0.453139,1.0
2026-08-06 09:23:53,41.92,20991,104,659.0713,583.653,500.7,221.643387,0.0,443.33429,2.376325,,8.634716,0.863472,6e-06,0.789259,4.0,8.0,0.333933,0.0,0.333933,99.666067,75.603372,0.469798,1.0
2026-08-06 09:23:54,42.96,21503,107,292.625,576.7238,500.6,62.218113,-0.0,124.483818,2.379691,,5.288898,0.52889,3e-06,2.030647,10.0,10.0,21.878027,0.0,21.878027,78.121973,57.96546,0.591641,1.0
2026-08-06 09:23:55,43.98,22015,110,458.955,573.985,500.6,172.309525,-0.0,344.666595,2.377536,,7.375034,0.737503,5e-06,1.989263,10.0,10.0,18.083307,0.0,18.083307,81.916693,61.319912,0.585545,1.0
2026-08-06 09:23:56,44.97,22527,112,682.9607,576.4617,500.9,271.358368,0.0,542.764282,2.375938,,9.319311,0.931931,5e-06,0.86553,4.0,10.0,2.874349,0.0,2.874349,97.125651,74.225992,0.524237,1.0
2026-08-06 09:23:57,46.0,23039,115,265.3407,569.5479,500.9,79.169128,-0.0,158.385849,2.37996,,5.85939,0.585939,1e-06,2.950659,10.0,10.0,33.764681,0.0,33.764681,66.235319,48.864251,0.564733,1.0
2026-08-06 09:23:58,47.0,23551,117,495.3723,567.9354,501.1,127.802628,-0.0,255.652817,2.377819,,6.588626,0.658863,6e-06,1.185125,7.0,10.0,1.685762,0.0,1.685762,98.314238,75.251214,0.537564,1.0
2026-08-06 09:23:59,48.01,24063,120,348.9628,563.2764,501.2,84.246185,0.0,168.539963,2.379642,,5.683273,0.568327,3e-06,1.992189,10.0,10.0,16.944075,0.0,16.944075,83.055925,62.094069,0.561666,1.0
2026-08-06 09:24:00,49.04,24575,122,768.062,567.5427,501.1,325.664764,-0.0,651.377075,2.376669,,10.501068,1.050107,6e-06,1.129782,7.0,10.0,4.162195,0.0,4.162195,95.837805,73.060725,0.48039,1.0
2026-08-06 09:24:01,50.11,25087,125,620.6935,568.6274,500.6,258.854645,0.0,517.756836,2.376993,,8.909852,0.890985,5e-06,1.76515,10.0,10.0,9.322045,0.0,9.322045,90.677955,68.028781,0.576988,1.0
2026-08-06 09:24:02,51.16,25599,128,666.5903,570.5867,500.4,244.376099,-0.0,488.799774,2.378418,,9.457043,0.945704,4e-06,2.466534,10.0,10.0,9.349194,0.0,9.349194,90.650806,69.257337,0.491218,1.0
2026-08-06 09:24:04,52.21,26111,130,574.4766,570.663,500.1,190.156021,0.0,380.359589,2.377896,,8.268537,0.826854,4e-06,2.8387,10.0,10.0,10.709424,0.0,10.709424,89.290576,67.347299,0.47368,1.0
2026-08-06 09:24:05,53.3,26623,133,711.5741,573.3728,499.5,311.1409,0.0,622.329346,2.377437,,10.017639,1.001764,3e-06,2.524865,10.0,10.0,7.887176,0.0,7.887176,92.112824,69.774141,0.528757,1.0
2026-08-06 09:24:06,54.37,27135,135,565.3438,573.2213,499.1,180.094986,0.0,360.237549,2.378882,,8.286339,0.828634,4e-06,1.671703,10.0,10.0,13.273582,0.0,13.273582,86.726418,65.825206,0.489183,1.0
2026-08-06 09:24:07,55.37,27647,138,531.8276,572.4548,499.3,142.057678,-0.0,284.162872,2.376379,,7.102761,0.710276,6e-06,0.738766,4.0,10.0,1.588303,0.0,1.588303,98.411697,75.263937,0.553227,1.0
2026-08-06 09:24:08,56.44,28159,140,427.6049,569.8211,498.9,112.652817,-0.0,225.353226,2.37923,,6.625529,0.662553,5e-06,2.067371,10.0,10.0,15.119793,0.0,15.119793,84.880207,63.902067,0.530261,1.0
2026-08-06 09:24:09,57.5,28671,143,530.0875,569.1116,498.6,207.952164,0.0,415.951904,2.37879,,7.510508,0.751051,5e-06,1.798657,10.0,10.0,6.881725,0.0,6.881725,93.118275,69.989227,0.593894,1.0
2026-08-06 09:24:10,58.57,29183,145,597.5758,569.611,498.2,224.539764,0.0,449.127106,2.379436,,8.603067,0.860307,3e-06,4.066016,10.0,10.0,11.31399,0.0,11.31399,88.68601,66.856398,0.582189,1.0
2026-08-06 09:24:11,59.62,29695,148,656.7279,571.113,498.0,263.923431,0.0,527.89447,2.379088,,9.704514,0.970451,2e-06,3.248788,10.0,10.0,14.507143,0.0,14.507143,85.492857,64.094697,0.574855,1.0
2026-08-06 09:24:12,60.71,30207,151,724.052,573.7052,497.6,276.705811,0.0,553.459167,2.377931,,10.085768,1.008577,4e-06,1.911234,10.0,10.0,6.401724,0.0,6.401724,93.598276,71.184994,0.478295,1.0
2026-08-06 09:24:13,61.83,30719,153,733.1003,576.3618,496.9,291.23111,0.0,582.509766,2.377676,,10.158639,1.015864,5e-06,1.435721,10.0,10.0,6.007973,0.0,6.007973,93.992027,71.832191,0.468743,1.0
2026-08-06 09:24:14,62.89,31231,156,502.7233,575.1546,496.6,148.17897,0.0,296.405426,2.374456,,6.859049,0.685905,8e-06,0.862519,8.0,10.0,4.41432,0.0,4.41432,95.58568,72.927204,0.540294,1.0
2026-08-06 09:24:15,63.94,31743,158,314.1344,570.9446,496.4,81.300995,0.0,162.649582,2.379868,,5.245825,0.524582,3e-06,2.481708,10.0,10.0,17.329,0.0,17.329,82.671,61.510322,0.588242,1.0
2026-08-06 09:24:16,64.99,32255,161,472.7572,569.386,496.3,122.889748,0.0,245.827103,2.380041,,7.068195,0.706819,3e-06,2.005159,10.0,10.0,13.103525,0.0,13.103525,86.896475,65.708907,0.482279,1.0
2026-08-06 09:24:17,66.05,32767,163,654.7809,570.7203,496.1,229.689651,-0.0,459.426849,2.377903,,9.503809,0.950381,3e-06,1.892427,10.0,10.0,12.614179,0.0,12.614179,87.385821,66.382476,0.475324,1.0
2026-08-06 09:24:18,67.11,33279,166,699.1048,572.6955,495.9,299.385498,0.0,598.818542,2.378806,,10.387215,1.038722,5e-06,1.318723,10.0,10.0,13.425541,0.0,13.425541,86.574459,65.492242,0.510184,1.0
2026-08-06 09:24:19,68.15,33791,168,727.0658,575.0344,495.8,282.35437,0.0,564.756287,2.378276,,10.17081,1.017081,5e-06,1.651997,10.0,10.0,7.579281,0.0,7.579281,92.420719,70.607542,0.466919,1.0
2026-08-06 09:24:20,69.16,34303,171,679.727,576.597,496.0,250.950027,0.0,501.947601,2.37755,,9.30619,0.930619,6e-06,1.388258,10.0,10.0,4.736778,0.0,4.736778,95.263222,73.178603,0.473111,1.0
2026-08-06 09:24:22,70.21,34815,174,563.0553,576.3979,495.9,163.803482,0.0,327.65451,2.377111,,7.838411,0.783841,6e-06,0.961071,9.0,10.0,7.332469,0.0,7.332469,92.667531,70.460979,0.46409,1.0
2026-08-06 09:24:23,71.2,35327,176,249.8478,571.6653,496.2,38.049038,0.0,76.14566,2.379206,,3.895933,0.389593,4e-06,1.500571,10.0,10.0,9.764862,0.0,9.764862,90.235138,68.006821,0.672868,1.0
2026-08-06 09:24:24,72.21,35839,179,496.0927,570.5856,496.3,131.074524,-0.0,262.196625,2.378199,,6.981171,0.698117,5e-06,1.490196,9.0,10.0,7.353553,0.0,7.353553,92.646447,70.572012,0.465356,1.0
2026-08-06 09:24:25,73.3,36351,181,616.4796,571.232,495.9,230.039444,0.0,460.126465,2.379351,,9.449995,0.944999,3e-06,2.668204,10.0,10.0,18.847621,0.0,18.847621,81.152379,60.968196,0.472174,1.0
2026-08-06 09:24:26,74.35,36863,184,465.5325,569.764,495.8,150.311279,0.0,300.670135,2.378333,,6.794,0.6794,5e-06,1.366947,9.0,10.0,9.164197,0.0,9.164197,90.835803,69.252505,0.570763,1.0
2026-08-06 09:24:27,75.35,37375,186,411.277,567.5929,496.0,109.708389,-0.0,219.46434,2.37831,,5.759622,0.575962,4e-06,1.791972,9.0,10.0,5.239165,0.0,5.239165,94.760835,72.489619,0.618987,1.0
2026-08-06 09:24:28,76.44,37887,189,376.7972,565.0146,495.7,86.675758,0.0,173.399094,2.378681,,5.448414,0.544841,4e-06,2.268555,10.0,10.0,7.408392,0.0,7.408392,92.591608,70.304569,0.658785,1.0
2026-08-06 09:24:29,77.52,38399,192,-35.8101,557.0036,495.3,27.578009,0.0,55.203644,2.381291,,2.434938,0.243494,1e-06,3.050532,10.0,10.0,43.470676,0.0,43.470676,56.529324,41.322519,0.626646,1.0
2026-08-06 09:24:30,78.6,38911,194,472.3666,555.89,495.0,150.69014,-0.0,301.427856,2.378349,,6.890045,0.689004,3e-06,2.589298,10.0,10.0,10.47441,0.0,10.47441,89.52559,67.193964,0.568587,1.0
2026-08-06 09:24:31,79.57,39423,197,718.5767,558.0028,495.4,274.011871,0.0,548.071289,2.377738,,9.876452,0.987645,5e-06,1.475671,10.0,10.0,5.191445,0.0,5.191445,94.808555,71.891283,0.50867,1.0
2026-08-06 09:24:32,80.64,39935,199,632.4419,558.9571,495.2,205.579025,0.0,411.205627,2.378433,,8.879632,0.887963,5e-06,1.855491,10.0,10.0,8.400005,0.0,8.400005,91.599995,69.166028,0.493839,1.0
2026-08-06 09:24:33,81.68,40447,202,578.8714,559.2092,495.2,200.888321,0.0,401.824219,2.37832,,8.033109,0.803311,5e-06,1.293423,9.0,10.0,6.065447,0.0,6.065447,93.934553,71.329071,0.550414,1.0
2026-08-06 09:24:34,82.71,40959,204,659.6932,560.4653,495.2,242.277039,0.0,484.601654,2.378301,,9.233559,0.923356,4e-06,1.629324,8.0,10.0,5.732761,0.0,5.732761,94.267239,71.553945,0.487578,1.0
