wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-06 11:36:40,1.27,511,2,-10.6716,-10.6716,401.2,74.057884,0.0,148.163239,2.37316,,7.041762,0.704176,8e-06,1.551044,10.0,10.0,9.10962,0.0,9.10962,90.89038,68.220737,0.550946,12.0
2026-08-06 11:36:41,2.3,1023,5,-815.9475,-413.3096,444.0,771.052612,-0.0,1542.15271,2.374068,,5.493956,0.549396,6e-06,3.330636,10.0,10.0,20.804228,0.0,20.804228,79.195772,58.616938,0.595686,12.0
2026-08-06 11:36:42,3.39,1535,7,-627.4192,-484.6795,453.1,392.863464,-0.0,785.774353,2.372149,,6.486014,0.648601,7e-06,3.735201,10.0,10.0,18.979133,0.0,18.979133,81.020867,60.136192,0.556693,12.0
2026-08-06 11:36:43,4.38,2047,10,280.228,-293.4526,466.9,112.212608,-0.0,224.472641,2.371183,,8.828248,0.882825,1e-05,1.226121,9.0,10.0,6.739165,0.0,6.739165,93.260835,71.081832,0.500325,12.0
2026-08-06 11:36:44,5.45,2559,12,-131.2653,-261.0151,469.5,331.916046,-0.0,663.879517,2.370899,,8.961516,0.896152,1e-05,1.894182,10.0,10.0,13.316974,0.0,13.316974,86.683026,65.035721,0.514839,12.0
2026-08-06 11:36:45,6.47,3071,15,-463.3823,-294.743,474.4,641.207825,0.0,1282.463135,2.371433,,7.280308,0.728031,6e-06,1.784201,10.0,10.0,16.695629,0.0,16.695629,83.304371,62.173562,0.5713,12.0
2026-08-06 11:36:46,7.47,3583,17,469.3421,-185.588,479.5,346.779449,0.0,693.606323,2.369795,,11.192335,1.119233,7e-06,2.539271,10.0,10.0,6.318914,0.0,6.318914,93.681086,70.656511,0.582839,12.0
2026-08-06 11:36:47,8.51,4095,20,98.6305,-150.0607,481.0,663.700562,-0.0,1327.448486,2.367671,,9.418192,0.941819,1.3e-05,1.903281,10.0,10.0,10.161791,0.0,10.161791,89.838209,67.483127,0.524223,12.0
2026-08-06 11:36:48,9.54,4607,23,-1129.8893,-258.9305,482.7,975.897217,0.0,1951.841797,2.370733,,5.817906,0.581791,6e-06,3.404951,10.0,10.0,26.040985,0.0,26.040985,73.959015,55.701539,0.546178,12.0
2026-08-06 11:36:49,10.59,5119,25,65.2329,-226.5142,483.6,133.275604,-0.0,266.598602,2.369645,,5.260698,0.52607,8e-06,1.648688,10.0,10.0,5.624106,0.0,5.624106,94.375894,71.37914,0.598353,12.0
2026-08-06 11:36:50,11.6,5631,28,223.2133,-185.6299,485.3,172.116867,0.0,344.281097,2.368372,,5.686605,0.56866,9e-06,1.171969,8.0,10.0,3.586681,0.0,3.586681,96.413319,73.610668,0.590902,12.0
2026-08-06 11:36:51,12.67,6143,30,149.4529,-157.7063,484.8,329.70578,-0.0,659.458923,2.368056,,8.993113,0.899311,8e-06,1.216444,8.0,10.0,8.902964,0.0,8.902964,91.097036,69.245437,0.508713,12.0
