wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-09 21:11:37,1.57,511,2,-370.7148,-370.7148,324.8,67.093498,-0.0,134.234406,2.370102,,2.136128,0.213613,1356976.024073,11.289062,88.710938,0.503136
2026-07-09 21:11:38,2.84,1023,5,-620.1222,-495.4185,359.9,230.507904,-0.0,461.063202,2.369304,,1.104282,0.110428,6610486.531809,16.796875,83.203125,0.469189
2026-07-09 21:11:39,4.11,1535,7,-325.601,-438.8126,373.2,56.466011,-0.0,112.979424,2.370065,,2.310213,0.231021,1267411.988019,10.117188,89.882812,0.430313
2026-07-09 21:11:41,5.48,2047,10,-571.3563,-471.9486,373.7,217.798615,0.0,435.644623,2.369936,,4.215247,0.421525,3367040.8345,17.929688,82.070312,0.438616
2026-07-09 21:11:42,6.74,2559,12,-430.4366,-463.6462,379.4,103.040222,0.0,206.127838,2.36955,,2.420572,0.242057,1398277.331003,13.59375,86.40625,0.471622
2026-07-09 21:11:43,8.09,3071,15,-261.7548,-429.9976,379.8,36.68877,-0.0,73.424927,2.369334,,2.684327,0.268433,1128514.154443,9.257812,90.742188,0.439008
2026-07-09 21:11:45,9.38,3583,17,-435.1897,-430.7393,381.8,92.071014,-0.0,184.189377,2.367704,,1.33863,0.133863,1242420.401612,12.539062,87.460938,0.356661
2026-07-09 21:11:46,10.64,4095,20,-388.0798,-425.4069,384.8,108.079979,0.0,216.207306,2.367653,,3.206704,0.32067,1532522.582078,14.101562,85.898438,0.392296
2026-07-09 21:11:47,11.91,4607,23,-1009.2145,-490.2744,386.7,473.686798,-0.0,947.420898,2.365237,,1.703543,0.170354,16706223.088449,36.210938,63.789062,0.306923
2026-07-09 21:11:49,13.21,5119,25,-253.3636,-466.5833,387.6,36.970459,-0.0,73.988258,2.36714,,2.965561,0.296556,1210149.757177,9.023438,90.976562,0.522009
2026-07-09 21:11:50,14.5,5631,28,-326.6021,-453.8578,388.3,54.457779,-0.0,108.962906,2.367382,,2.116984,0.211698,1115774.698797,10.078125,89.921875,0.411197
2026-07-09 21:11:51,15.78,6143,30,-325.3939,-443.1524,389.3,54.389862,-0.0,108.827042,2.366004,,0.981934,0.098193,1109854.643633,9.609375,90.390625,0.533504
2026-07-09 21:11:52,17.05,6655,33,-408.8154,-440.5111,390.2,80.913719,0.0,161.874741,2.365258,,1.000365,0.100036,1189453.250549,11.835938,88.164062,0.451428
2026-07-09 21:11:54,18.37,7167,35,-617.2609,-453.1361,390.0,216.240799,0.0,432.5289,2.364816,,1.605538,0.160554,3717762.063059,17.8125,82.1875,0.359717
2026-07-09 21:11:55,19.7,7679,38,-321.963,-444.3912,389.9,48.506313,0.0,97.059921,2.364835,,2.61518,0.261518,1646198.192979,10.351562,89.648438,0.430193
2026-07-09 21:11:56,20.99,8191,40,-174.6944,-427.5352,390.2,24.478991,-0.0,49.00526,2.363969,,3.138321,0.313832,974835.165364,8.164062,91.835938,0.402707
2026-07-09 21:11:58,22.32,8703,43,-547.1054,-434.5687,389.9,212.294968,0.0,424.637207,2.363265,,1.473877,0.147388,8079904.077058,17.03125,82.96875,0.43001
