wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-07-24 04:33:21,2.87,511,2,469.2526,469.2526,178.0,130.372406,0.0,260.79245,2.382654,,6.380847,0.638085,6e-06,1.275366,8.0,9.0,0.129199,3.981819,4.111018,95.888982,30.568069,0.577575,1.0
2026-07-24 04:33:23,5.46,1023,5,594.4595,531.8561,187.5,183.775162,-0.0,367.597992,2.383319,,8.033566,0.803357,8e-06,1.089792,8.0,10.0,0.38902,4.128627,4.517647,95.482353,30.315946,0.514527,1.0
2026-07-24 04:33:26,8.1,1535,7,732.4033,598.7051,189.6,293.111267,0.0,586.270142,2.381285,,9.673117,0.967312,1e-05,0.144713,1.0,3.0,0.0,0.003164,0.003164,99.996836,31.600724,0.502556,1.0
2026-07-24 04:33:29,10.73,2047,10,525.4542,580.3924,190.7,179.588715,0.0,359.225067,2.381952,,7.323378,0.732338,7e-06,0.857389,6.0,10.0,1.95521,4.407909,6.363119,93.636881,29.378184,0.581359,0.999079
2026-07-24 04:33:31,13.34,2559,12,600.6802,584.45,191.8,238.851562,0.0,477.750793,2.383013,,8.668223,0.866822,5e-06,0.659547,5.0,10.0,5.029982,5.495837,10.525819,89.474181,28.412206,0.560412,0.999079
2026-07-24 04:33:34,16.03,3071,15,856.3581,629.768,191.6,405.916595,-0.0,811.880798,2.380408,,11.45906,1.145906,8e-06,0.147087,1.0,6.0,0.0,0.319752,0.319752,99.680248,32.100729,0.539705,0.999079
2026-07-24 04:33:37,18.69,3583,17,363.88,591.784,191.7,102.843529,-0.0,205.734726,2.383254,,5.863154,0.586315,4e-06,1.043398,9.0,10.0,7.441904,9.677269,17.119173,82.880827,26.527092,0.557751,0.999079
2026-07-24 04:33:39,21.28,4095,20,396.9849,567.4341,192.4,79.792862,0.0,159.633347,2.38085,,5.864268,0.586427,7e-06,0.562602,5.0,10.0,4.336929,6.155139,10.492069,89.507931,28.662294,0.521583,0.998919
2026-07-24 04:33:42,23.9,4607,23,409.0424,549.835,192.8,96.86834,-0.0,193.784286,2.380185,,5.41516,0.541516,8e-06,0.481258,5.0,7.0,0.017159,0.990562,1.007722,98.992278,31.641198,0.602369,0.998919
2026-07-24 04:33:45,26.53,5119,25,528.5829,547.7098,193.0,183.493729,0.0,367.035065,2.38014,,7.141442,0.714144,9e-06,0.308533,2.0,9.0,1.208228,2.041327,3.249555,96.750445,30.846639,0.570532,0.998919
2026-07-24 04:33:47,29.12,5631,28,651.0305,557.1026,193.4,266.396637,0.0,532.840881,2.379817,,8.807795,0.88078,1e-05,0.221684,1.0,9.0,1.356831,1.774797,3.131628,96.868372,31.012888,0.550455,0.998919
2026-07-24 04:33:50,31.82,6143,30,558.4027,557.2109,193.1,210.705933,0.0,421.459473,2.380682,,7.739474,0.773947,9e-06,0.421852,3.0,7.0,3.241259,3.04218,6.283439,93.716561,30.149841,0.568849,0.998053
2026-07-24 04:33:52,34.4,6655,33,488.8604,551.9532,193.4,127.795235,-0.0,255.638092,2.381454,,6.842983,0.684298,5e-06,0.510421,3.0,6.0,3.494432,3.385861,6.880293,93.119707,29.888486,0.55382,0.998053
2026-07-24 04:33:55,37.06,7167,35,583.3411,554.1952,193.4,182.730057,0.0,365.507721,2.381028,,7.946992,0.794699,9e-06,0.640744,6.0,10.0,1.17222,3.781806,4.954026,95.045974,30.571794,0.525488,0.998053
2026-07-24 04:33:58,39.77,7679,38,695.6396,563.6248,193.1,249.591385,-0.0,499.230377,2.379824,,9.247373,0.924737,9e-06,0.159005,1.0,7.0,0.614401,1.121748,1.736149,98.263851,31.585727,0.507299,0.998053
2026-07-24 04:34:00,42.36,8191,40,827.988,580.1475,193.4,369.378021,0.0,738.80365,2.381448,,11.073593,1.107359,7e-06,0.362752,2.0,10.0,1.154598,1.888637,3.043235,96.956765,31.252116,0.57515,0.997271
2026-07-24 04:34:03,44.99,8703,43,733.1013,589.1448,193.4,351.324677,-0.0,702.69696,2.380392,,10.131615,1.013162,8e-06,0.087169,1.0,1.0,0.0,0.0,0.0,100.0,32.082003,0.588888,0.997271
2026-07-24 04:34:06,47.56,9215,46,413.4333,579.3831,193.7,114.17466,-0.0,228.396927,2.380389,,5.635777,0.563578,1e-05,0.943945,8.0,9.0,0.039095,3.973665,4.012761,95.987239,30.578747,0.657666,0.997271
2026-07-24 04:34:08,50.14,9727,48,275.5448,563.3916,194.0,49.561749,-0.0,99.171104,2.380382,,3.718731,0.371873,7e-06,0.550258,5.0,9.0,0.080948,2.162238,2.243186,97.756814,31.317261,0.735473,0.997271
2026-07-24 04:34:11,52.72,10239,51,389.6134,554.7027,194.2,92.159897,0.0,184.367386,2.379622,,5.120537,0.512054,7e-06,0.227193,1.0,6.0,0.0,0.502169,0.502169,99.497831,31.854838,0.68208,0.996211
2026-07-24 04:34:13,55.33,10751,53,231.4128,539.3079,194.3,31.329657,0.0,62.706936,2.381091,,3.211002,0.3211,7e-06,1.486014,7.0,9.0,0.13134,3.350741,3.482081,96.517919,30.713842,0.766345,0.996211
2026-07-24 04:34:16,57.92,11263,56,327.04,529.6594,194.5,67.90197,-0.0,135.851547,2.380548,,5.118991,0.511899,7e-06,0.475258,3.0,10.0,6.547339,6.368818,12.916158,87.083842,27.691948,0.623006,0.996211
2026-07-24 04:34:18,60.49,11775,58,676.1185,536.0272,194.7,252.73555,0.0,505.518707,2.380243,,8.996159,0.899616,8e-06,0.787149,7.0,8.0,0.0,2.313753,2.313753,97.686247,31.165626,0.512428,0.996211
2026-07-24 04:34:21,63.11,12287,61,908.123,551.5312,194.7,417.820251,-0.0,835.68811,2.379585,,12.428833,1.242883,8e-06,0.429285,5.0,9.0,0.096731,1.884702,1.981434,98.018566,31.339646,0.519207,0.995478
2026-07-24 04:34:24,65.69,12799,64,842.6932,563.1776,194.8,342.264252,0.0,684.576111,2.379258,,11.115737,1.111574,9e-06,0.068978,0.0,2.0,0.0,0.0,0.0,100.0,31.843989,0.46139,0.995478
2026-07-24 04:34:26,68.25,13311,66,744.3223,570.1447,195.0,298.56839,0.0,597.184387,2.37907,,9.872041,0.987204,7e-06,0.108787,1.0,2.0,0.0,0.0,0.0,100.0,31.957616,0.521524,0.995478
2026-07-24 04:34:29,70.87,13823,69,771.4722,577.6013,195.1,335.583099,0.0,671.213806,2.379031,,10.254287,1.025429,8e-06,0.059265,1.0,1.0,0.0,0.0,0.0,100.0,32.203227,0.566155,0.995478
2026-07-24 04:34:31,73.47,14335,71,786.1043,585.0478,195.1,318.495972,0.0,637.039551,2.37977,,10.319318,1.031932,5e-06,0.361902,2.0,7.0,0.0,0.621457,0.621457,99.378543,31.74311,0.507057,0.994321
2026-07-24 04:34:34,76.09,14847,74,740.3493,590.4031,195.1,261.048523,0.0,522.144653,2.3799,,10.035389,1.003539,7e-06,0.949502,7.0,10.0,1.143663,4.204919,5.348582,94.651418,30.093643,0.470448,0.994321
2026-07-24 04:34:37,78.65,15359,76,680.1754,593.3955,195.3,251.37851,-0.0,502.804596,2.37906,,9.117904,0.91179,8e-06,0.450539,3.0,9.0,0.147215,1.393848,1.541064,98.458936,31.34184,0.513618,0.994321
2026-07-24 04:34:39,81.2,15871,79,564.3978,592.4601,195.5,162.425293,0.0,324.898163,2.378232,,7.401675,0.740167,7e-06,0.243371,2.0,5.0,0.059487,0.483719,0.543206,99.456794,31.698038,0.517496,0.994321
2026-07-24 04:34:42,83.77,16383,81,561.1385,591.4813,195.6,176.137024,0.0,352.321625,2.378184,,7.487427,0.748743,8e-06,0.548604,5.0,9.0,0.295197,2.392815,2.688012,97.311988,31.120845,0.530872,0.993309
