wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-18 00:28:09,2.76,511,2,452.7253,452.7253,185.0,147.590027,0.0,295.227509,2.372128,,7.096973,0.709697,4e-06,1.774639,10.0,10.0,17.235852,0.0,17.235852,82.764148,61.320304,0.540832,1.0
2026-08-18 00:28:12,5.48,1023,5,663.5326,558.129,186.5,280.593231,-0.0,561.233887,2.371,,9.702841,0.970284,3e-06,2.758319,10.0,10.0,11.481711,0.0,11.481711,88.518289,66.710902,0.571814,1.0
2026-08-18 00:28:14,7.97,1535,7,831.1204,649.1261,192.7,397.556549,-0.0,795.160522,2.372734,,11.197507,1.119751,6e-06,1.038131,7.0,10.0,1.406845,0.0,1.406845,98.593155,75.768083,0.498876,1.0
2026-08-18 00:28:17,10.56,2047,10,333.1954,570.1434,193.8,85.844101,0.0,171.735565,2.368214,,6.167347,0.616735,2e-06,4.201494,10.0,10.0,27.713582,0.0,27.713582,72.286418,53.112895,0.529884,1.0
2026-08-18 00:28:19,13.1,2559,12,391.5736,534.4295,195.4,90.23333,-0.0,180.514084,2.371246,,5.82143,0.582143,5e-06,1.180947,9.0,10.0,10.607321,0.0,10.607321,89.392679,68.671693,0.535988,1.0
2026-08-18 00:28:22,15.66,3071,15,343.1161,502.5439,196.1,73.643768,0.0,147.334976,2.37229,,4.980558,0.498056,6e-06,1.627154,10.0,10.0,7.912328,0.0,7.912328,92.087672,69.29496,0.601442,1.0
2026-08-18 00:28:25,18.27,3583,17,554.9513,510.0307,196.2,192.997498,-0.0,386.04245,2.372445,,7.838874,0.783887,5e-06,1.234895,9.0,10.0,8.732809,0.0,8.732809,91.267191,69.724891,0.515198,1.0
2026-08-18 00:28:27,20.78,4095,20,618.7012,523.6145,197.1,264.166992,0.0,528.38147,2.372794,,8.570846,0.857085,8e-06,0.911284,8.0,10.0,5.850469,0.0,5.850469,94.149531,71.545866,0.544116,1.0
2026-08-18 00:28:30,23.29,4607,23,531.8399,524.5284,197.8,191.607376,0.0,383.262177,2.371851,,7.880183,0.788018,4e-06,2.148102,10.0,10.0,13.395343,0.0,13.395343,86.604657,65.591095,0.562791,1.0
2026-08-18 00:28:32,25.94,5119,25,428.6245,514.938,197.4,107.408981,-0.0,214.865387,2.371087,,6.876784,0.687678,3e-06,2.797409,10.0,10.0,18.982438,0.0,18.982438,81.017562,60.797886,0.535532,1.0
