wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_violation_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam
2026-08-16 11:38:39,1.33,511,2,419.4054,419.4054,383.6,111.965126,-0.0,223.977814,2.377957,,6.392763,0.639276,6e-06,2.627689,10.0,10.0,14.050392,0.0,14.050392,85.949608,63.996596,0.570006,1.0
2026-08-16 11:38:40,2.35,1023,5,554.8344,487.1199,434.8,165.204666,-0.0,330.45694,2.38024,,8.277863,0.827786,7e-06,3.223943,10.0,10.0,15.698622,0.0,15.698622,84.301378,63.868102,0.518331,1.0
2026-08-16 11:38:41,3.35,1535,7,720.4341,564.8913,458.2,288.865112,0.0,577.777832,2.37913,,9.798263,0.979826,7e-06,1.1127,9.0,10.0,3.638381,0.0,3.638381,96.361619,72.575443,0.487208,1.0
2026-08-16 11:38:42,4.37,2047,10,492.3962,546.7675,468.3,163.132309,0.0,326.312195,2.378885,,7.335997,0.7336,7e-06,2.013466,10.0,10.0,13.501949,0.0,13.501949,86.498051,64.20096,0.574349,1.0
2026-08-16 11:38:43,5.37,2559,12,563.8943,550.1929,476.4,219.633545,0.0,439.314667,2.379581,,8.62338,0.862338,4e-06,2.480705,10.0,10.0,16.476445,0.0,16.476445,83.523555,62.663521,0.556462,1.0
2026-08-16 11:38:44,6.3,3071,15,831.8942,597.1431,487.5,386.524445,-0.0,773.096497,2.381353,,11.351286,1.135129,8e-06,1.217731,8.0,10.0,2.199617,0.0,2.199617,97.800383,74.930971,0.538522,1.0
2026-08-16 11:38:45,7.4,3583,17,350.0814,561.8486,483.9,96.186729,0.0,192.421066,2.380478,,6.107862,0.610786,4e-06,4.497667,10.0,10.0,23.374184,0.0,23.374184,76.625816,56.653562,0.553925,1.0
2026-08-16 11:38:46,8.37,4095,20,408.4676,542.6759,489.0,86.204285,0.0,172.456177,2.380028,,5.997068,0.599707,7e-06,1.20501,8.0,10.0,10.206775,0.0,10.206775,89.793225,68.252575,0.53638,1.0
2026-08-16 11:38:47,9.31,4607,23,380.0991,524.6118,494.7,92.528275,0.0,185.104172,2.380795,,5.492112,0.549211,7e-06,1.770333,10.0,10.0,8.226213,0.0,8.226213,91.773787,69.321581,0.584078,1.0
2026-08-16 11:38:48,10.29,5119,25,512.1862,523.3693,497.7,174.30304,-0.0,348.653687,2.380656,,7.077524,0.707752,7e-06,1.195534,8.0,10.0,5.286863,0.0,5.286863,94.713137,71.933329,0.574529,1.0
