algo,family,backbone,algo_family,n_rows,final_step,steps_per_row,budget_target,reward_per_step_final_mean,reward_per_step_final_std,reward_per_episode_equiv,peak_ma_reward_per_step,peak_step,final_ma_reward_per_step,degradation,trend_label,slope_last25pct,convergence_step,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam_final,flag_urllc_starving,flag_low_sla,flag_degraded
central-dqn,baseline,,dqn,1000,199999,200.0,200000,1.07620191,0.43989231864905515,215.240382,1.2407565,77399,1.147775375,0.09298112500000011,improving,1.8818480218883474e-06,29999,7.582528239999999,0.7582528,1.68841129,1.0984222700000001,4.56,5.2,2.24024754,4.313524259999999,93.44622821000002,29.697248329999997,0.60117327,0.9316684199999997,False,False,True
central-dqn,baseline,,dqn,1000,199999,200.0,200000,1.036924865,0.42648221776929257,207.384973,1.19295,77199,1.0512216699999999,0.14172833000000007,improving,1.2192772809484954e-05,19599,7.3641275199999985,0.73641273,1.55994844,0.95160571,4.84,5.4,2.50274569,4.781571519999999,92.71568279000002,29.48712865,0.6103218899999999,0.9338174799999998,False,False,True
central-dqn,baseline,,dqn,1000,199999,200.0,200000,0.9214578050000002,0.4130465258864363,184.29156100000003,1.174881,76999,1.00577983,0.16910117000000002,plateau,8.424538818221048e-07,1599,6.742250439999999,0.67422507,0.09617441999999997,0.7268788700000001,4.41,5.34,2.5578921,4.47575935,92.96634851,29.587700760000004,0.7370459500000002,0.9343270499999998,False,False,True
central-dqn,baseline,,dqn,1000,199999,200.0,200000,0.9854414200000001,0.43725186029227325,197.08828400000002,1.208289,76799,1.0747594749999998,0.13352952500000015,improving,1.4449941352661608e-06,1399,7.089187429999999,0.7089187200000001,0.05775661000000001,0.8282358599999999,4.52,5.37,2.4119892000000003,4.28006481,93.30794596000001,29.681641339999995,0.6932592699999998,0.93358377,False,False,True
central-ppo_floornone,baseline,,ppo,1953,999935,512.0,1000000,1.1027051191907051,0.3198147113909984,220.54102383814103,1.1866494140625,436223,1.0953129377003206,0.09133647636217934,plateau,-2.1331650295236686e-07,17919,7.8478752871794875,0.7847875333333333,1.496673117948718,0.9221720564102565,6.087179487179487,8.577743589743589,2.631185635897436,5.335630733333334,92.03318362564103,29.28128883589744,0.6128789846153846,0.7979120410256412,False,False,True
central-ppo_floornone,baseline,,ppo,1953,999935,512.0,1000000,1.1104035897435898,0.31114167183796115,222.08071794871796,1.181133203125,436735,1.101972469951923,0.07916073317307681,plateau,-1.788662528713485e-07,19967,7.865780292307692,0.7865780153846154,1.6283500051282052,0.8920734512820512,5.815384615384615,8.948717948717949,2.5550878820512826,5.203939512820512,92.24097263076924,29.354596153846153,0.6019427025641025,0.8065029794871797,False,False,True
central-ppo_floornone,baseline,,ppo,1953,999935,512.0,1000000,1.1056993639823718,0.32030074464399033,221.13987279647435,1.1879921875,435711,1.098497619190705,0.08949456830929492,plateau,-1.2771551167254797e-07,19455,7.894681774358974,0.7894681384615385,1.5681053897435895,1.0324579692307692,6.323076923076923,9.076923076923077,2.797826071794872,5.637082728205128,91.56509126666664,29.116774487179487,0.6074790564102565,0.8209385948717948,False,False,True
central-ppo_floornone,baseline,,ppo,1953,999935,512.0,1000000,1.0897132061298076,0.3157334834588614,217.94264122596152,1.1663822265625,436223,1.0813697075320512,0.08501251903044871,plateau,-1.5161958032255315e-07,8703,7.824103184615385,0.7824102717948718,1.6233728923076924,1.0927901333333332,6.3076923076923075,8.938871794871794,2.824573353846154,5.524721707692307,91.65070495897436,29.124721410256413,0.6080098410256409,0.8750715897435898,False,False,True
central-ppo_floornone,baseline,,ppo,1953,999935,512.0,1000000,1.1074983914262821,0.3165155128955418,221.49967828525644,1.19319453125,435199,1.0985094200721155,0.09468511117788458,plateau,-1.6512227958009472e-07,3071,7.814486076923077,0.7814486102564102,1.456538205128205,0.7651055333333334,5.579487179487179,8.538461538461538,2.3116423743589745,4.90510458974359,92.78325304102565,29.555632979487182,0.6121471641025641,0.7894223846153845,False,False,True
central-ppo_floorstatic,baseline,,ppo,1953,999935,512.0,1000000,1.1182133303285255,0.3221481967841175,223.6426660657051,1.1982162109375,436223,1.1089018489583333,0.08931436197916676,plateau,-1.5322030255050964e-07,16895,7.8877672051282035,0.7887767025641027,1.631080687179487,0.7749394153846153,5.82051282051282,8.35897435897436,2.360142215384615,5.107070964102564,92.53278685128204,29.478035666666667,0.6028242512820512,0.7782463897435896,False,False,True
