wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-09 23:26:28,0.06,199,1,-29.9882,-29.9882,3382.5,,,,,1.0,0.944643,0.094464,1423596.58897,12.3,87.7,0.626527
2026-07-09 23:26:28,0.14,399,2,49.5545,9.7831,2774.2,,,,,1.0,4.347526,0.434753,1590824.705464,12.5,87.5,0.642779
2026-07-09 23:26:28,0.18,599,3,-73.7525,-18.0621,3373.9,,,,,1.0,0.418424,0.041842,1848092.015374,14.8,85.2,0.377662
2026-07-09 23:26:28,0.21,799,4,-6.2915,-15.1194,3807.7,,,,,1.0,1.399062,0.139906,1481951.711831,10.1,89.9,0.556057
2026-07-09 23:26:28,0.52,999,5,-400.0,-92.0955,1913.5,0.567833,,,,0.9995,1.011701,0.10117,10279183.047948,27.6,72.4,0.57723
2026-07-09 23:26:49,21.55,1199,6,20.3684,-73.3516,55.6,75.703506,,,,0.904362,2.312484,0.231248,1126171.609706,9.0,91.0,0.372613
2026-07-09 23:27:11,42.6,1399,7,-13.3822,-64.7845,32.8,578.324097,,,,0.81828,0.581863,0.058186,950773.861328,7.0,93.0,0.603529
2026-07-09 23:27:31,63.22,1599,8,72.4279,-47.6329,25.3,1595.215576,,,,0.740392,3.617922,0.361792,539324.490859,5.6,94.4,0.413817
2026-07-09 23:27:51,83.57,1799,9,-236.358,-68.6024,21.5,3886.400635,,,,0.669918,1.811877,0.181188,920895.482178,19.0,81.0,0.465964
2026-07-09 23:28:13,104.64,1999,10,80.9529,-53.6469,19.1,9340.310547,,,,0.606152,3.994048,0.399405,474759.791985,5.0,95.0,0.57262
2026-07-09 23:28:34,125.87,2199,11,-26.7086,-51.1979,17.5,13046.052734,,,,0.548455,0.456042,0.045604,317707.533579,4.5,95.5,0.412634
2026-07-09 23:28:55,147.17,2399,12,12.5725,-45.8837,16.3,14567.699219,,,,0.49625,1.355792,0.135579,630488.387237,5.0,95.0,0.695038
2026-07-09 23:29:16,167.99,2599,13,20.3056,-40.7922,15.5,21652.990234,,,,0.449014,1.651636,0.165164,468386.595165,4.8,95.2,0.443652
2026-07-09 23:29:36,188.58,2799,14,-39.0869,-40.6704,14.8,21067.107422,,,,0.406275,3.483564,0.348356,6120458.210453,22.1,77.9,0.476782
2026-07-09 23:29:57,209.53,2999,15,-172.9007,-49.4858,14.3,30794.699219,,,,0.367604,1.683168,0.168317,13199732.804912,46.2,53.8,0.526475
2026-07-09 23:30:19,231.01,3199,16,-111.5299,-53.3635,13.8,16977.583984,,,,0.332613,1.314368,0.131437,8833879.991172,24.5,75.5,0.254342
2026-07-09 23:30:40,252.28,3399,17,-99.6936,-56.0888,13.5,14135.173828,,,,0.300953,1.278195,0.127819,15132683.840561,27.6,72.4,0.454544
