wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-10 22:23:16,0.1,199,1,-168.8108,-168.8108,1982.6,,,,,1.0,0.935875,0.093588,1664958.760539,12.3,87.7,0.542839
2026-07-10 22:23:16,0.2,399,2,-79.5875,-124.1992,2008.5,,,,,1.0,4.219838,0.421984,1073192.636954,8.5,91.5,0.513772
2026-07-10 22:23:16,0.3,599,3,-172.6976,-140.3653,2020.6,,,,,1.0,0.392347,0.039235,1334690.215718,11.6,88.4,0.404412
2026-07-10 22:23:16,0.4,799,4,-124.4392,-136.3838,1974.2,,,,,1.0,1.300944,0.130094,1253092.003906,9.1,90.9,0.472696
2026-07-10 22:23:17,1.07,999,5,-400.0,-189.107,932.9,0.77881,,,,0.9995,0.96694,0.096694,5520991.459567,26.0,74.0,0.483009
2026-07-10 22:24:14,58.49,1199,6,-91.0457,-172.7635,20.5,0.841692,,,,0.904362,2.510843,0.251084,1053907.664934,8.9,91.1,0.382854
2026-07-10 22:25:12,116.01,1399,7,-116.7633,-164.7634,12.1,0.819058,,,,0.81828,0.755316,0.075532,1130738.838867,7.9,92.1,0.544867
2026-07-10 22:26:09,173.62,1599,8,-65.1231,-152.3084,9.2,0.54069,,,,0.740392,4.937843,0.493784,999598.594606,11.6,88.4,0.350006
2026-07-10 22:27:07,231.49,1799,9,-397.8708,-179.5931,7.8,1.031354,,,,0.669918,3.258062,0.325806,5317428.067998,27.2,72.8,0.436678
2026-07-10 22:28:05,289.31,1999,10,107.0398,-150.9298,6.9,1.82149,,,,0.606152,7.520368,0.752037,471523.406814,4.8,95.2,0.506298
2026-07-10 22:29:03,346.96,2199,11,-264.3361,-161.2395,6.3,2.617258,,,,0.548455,1.269711,0.126971,1378825.819011,18.0,82.0,0.376428
2026-07-10 22:30:00,404.67,2399,12,-15.1989,-149.0694,5.9,2.679879,,,,0.49625,3.316797,0.33168,785727.741919,5.4,94.6,0.569764
2026-07-10 22:30:58,462.4,2599,13,-92.7912,-144.7403,5.6,2.687334,,,,0.449014,3.83045,0.383045,1011220.13272,12.0,88.0,0.392254
2026-07-10 22:31:57,521.08,2799,14,0.9332,-134.3351,5.4,3.651836,,,,0.406275,5.926767,0.592677,2578932.593972,10.8,89.2,0.459655
2026-07-10 22:32:54,578.84,2999,15,-12.9203,-126.2408,5.2,7.751457,,,,0.367604,1.744995,0.174499,545523.479492,4.0,96.0,0.452094
2026-07-10 22:33:52,636.68,3199,16,-134.8728,-126.7803,5.0,2.627744,,,,0.332613,2.019205,0.201921,515895.794663,10.1,89.9,0.2582
2026-07-10 22:34:50,694.34,3399,17,10.6904,-118.6938,4.9,3.200868,,,,0.300953,2.300767,0.230077,412922.224253,3.3,96.7,0.429906
2026-07-10 22:35:48,752.68,3599,18,-227.7588,-124.7529,4.8,2.323251,,,,0.272307,0.930843,0.093084,455076.504687,20.6,79.4,0.285505
2026-07-10 22:36:46,810.42,3799,19,-24.8353,-119.4941,4.7,3.263576,,,,0.246387,9.049936,0.904994,543500.476934,18.9,81.1,0.306111
2026-07-10 22:37:44,868.35,3999,20,-23.2419,-114.6815,4.6,2.789533,,,,0.222935,1.813417,0.181342,252756.58508,6.0,94.0,0.473075
2026-07-10 22:38:42,926.29,4199,21,-400.0,-128.2681,4.5,3.080113,,,,0.201715,0.971878,0.097188,77150192.758452,30.8,69.2,0.384338
2026-07-10 22:39:40,984.14,4399,22,-400.0,-140.6195,4.5,5.663642,,,,0.182515,2.436719,0.243672,47279865.46311,47.8,52.2,0.241267
2026-07-10 22:40:38,1041.94,4599,23,-399.5809,-151.8787,4.4,6.39182,,,,0.165142,1.23139,0.123139,4214359.6634,23.6,76.4,0.2596
2026-07-10 22:41:35,1099.69,4799,24,89.1975,-141.8339,4.4,4.610609,,,,0.149423,3.710218,0.371022,162554.030273,1.3,98.7,0.753355
2026-07-10 22:42:33,1157.43,4999,25,133.1996,-130.8326,4.3,8.398451,,,,0.1352,5.085568,0.508557,113616.356828,0.9,99.1,0.520298
2026-07-10 22:43:31,1215.31,5199,26,147.3136,-120.1346,4.3,6.067778,,,,0.122331,5.677717,0.567772,112440.003439,1.0,99.0,0.388792
2026-07-10 22:44:29,1273.25,5399,27,-122.6674,-120.2284,4.2,4.585017,,,,0.110687,1.150504,0.11505,160482.42292,8.6,91.4,0.332824
2026-07-10 22:45:27,1331.23,5599,28,99.2056,-112.3915,4.2,5.113033,,,,0.100151,3.813294,0.381329,66750.285587,0.7,99.3,0.354453
2026-07-10 22:46:25,1389.1,5799,29,-6.3479,-108.7348,4.2,5.268806,,,,0.090618,2.919688,0.291969,164645.276483,8.9,91.1,0.57492
2026-07-10 22:47:23,1447.02,5999,30,-24.4055,-105.9238,4.1,4.526462,,,,0.081993,0.38282,0.038282,143620.115536,4.3,95.7,0.485963
2026-07-10 22:48:21,1505.19,6199,31,11.838,-102.1251,4.1,3.949924,,,,0.074188,0.745552,0.074555,63231.318359,0.5,99.5,0.892408
2026-07-10 22:49:19,1562.95,6399,32,9.0308,-98.6515,4.1,5.585806,,,,0.067127,0.793808,0.079381,111103.307617,0.8,99.2,0.497915
2026-07-10 22:50:16,1620.79,6599,33,-160.6365,-100.5298,4.1,3.178839,,,,0.060737,2.166902,0.21669,54035.194272,16.1,83.9,0.255449
2026-07-10 22:51:14,1678.45,6799,34,-38.4545,-98.704,4.1,3.555643,,,,0.054956,1.203563,0.120356,125963.769422,8.1,91.9,0.302187
2026-07-10 22:52:12,1736.32,6999,35,-178.3692,-100.9802,4.0,5.229598,,,,0.05,2.14394,0.214394,180701.333874,15.8,84.2,0.401204
