wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-14 20:59:15,0.57,199,1,-3.4725,-3.4725,347.7,0.038433,,,,0.9995,2.207965,0.220796,1495763.34076,11.4,88.6,0.494143
2026-07-14 20:59:45,30.58,399,2,161.2587,78.8931,13.0,36.526489,,,,0.904362,7.235285,0.723528,1048675.31663,9.1,90.9,0.488573
2026-07-14 21:00:15,60.69,599,3,-13.4057,48.1268,9.9,298.89386,,,,0.81828,1.04936,0.104936,901308.369223,7.5,92.5,0.372401
2026-07-14 21:00:46,91.04,799,4,48.8631,48.3109,8.8,864.476074,,,,0.740392,3.183098,0.31831,980429.548519,7.5,92.5,0.414858
2026-07-14 21:01:16,121.75,999,5,36.1409,45.8769,8.2,2066.133789,,,,0.669918,3.80288,0.380288,1396917.196758,18.0,82.0,0.363397
2026-07-14 21:01:47,152.67,1199,6,132.7037,60.348,7.9,3608.606445,,,,0.606152,5.634847,0.563485,688489.424464,5.9,94.1,0.364324
2026-07-14 21:02:20,185.03,1399,7,80.0982,63.1695,7.6,6005.744629,,,,0.548455,3.545351,0.354535,563477.300024,4.2,95.8,0.343319
2026-07-14 21:02:52,217.13,1599,8,153.8883,74.5093,7.4,10931.763672,,,,0.49625,6.036651,0.603665,491489.558816,4.4,95.6,0.303385
2026-07-14 21:03:24,249.78,1799,9,159.6792,83.9727,7.2,15558.607422,,,,0.449014,6.586278,0.658628,454888.202165,9.6,90.4,0.342783
2026-07-14 21:03:57,281.98,1999,10,241.7409,99.7495,7.1,20422.320312,,,,0.406275,9.177702,0.91777,466452.268027,4.8,95.2,0.373188
2026-07-14 21:04:30,315.15,2199,11,126.1331,102.148,7.0,30308.988281,,,,0.367604,5.087584,0.508758,507401.009864,5.5,94.5,0.324415
2026-07-14 21:05:03,348.05,2399,12,182.6627,108.8575,6.9,32946.203125,,,,0.332613,6.654103,0.66541,340965.322772,2.7,97.3,0.432229
2026-07-14 21:05:35,380.2,2599,13,167.5741,113.3742,6.8,41577.640625,,,,0.300953,6.247601,0.62476,376432.720396,3.3,96.7,0.409002
2026-07-14 21:06:07,412.65,2799,14,202.3279,119.728,6.8,57656.546875,,,,0.272307,7.247386,0.724739,230996.090491,2.2,97.8,0.414827
2026-07-14 21:06:40,445.81,2999,15,200.5205,125.1142,6.7,54188.398438,,,,0.246387,7.254618,0.725462,232186.693359,1.8,98.2,0.435281
2026-07-14 21:07:14,479.06,3199,16,164.6359,127.5843,6.7,62813.132812,,,,0.222935,5.9912,0.59912,224685.07153,2.7,97.3,0.474843
2026-07-14 21:07:47,511.92,3399,17,132.3279,127.8633,6.6,99028.375,,,,0.201715,4.851429,0.485143,260553.657307,2.1,97.9,0.504094
2026-07-14 21:08:20,544.89,3599,18,116.7794,127.2476,6.6,55479.503906,,,,0.182515,4.167226,0.416723,111111.566401,2.1,97.9,0.548213
2026-07-14 21:08:51,576.63,3799,19,140.2714,127.933,6.6,75780.265625,,,,0.165142,5.103158,0.510316,139634.629258,2.0,98.0,0.566905
2026-07-14 21:09:22,607.42,3999,20,-138.6611,114.6033,6.6,130526.882812,,,,0.149423,3.954333,0.395433,19279050.428566,42.7,57.3,0.540352
2026-07-14 21:09:54,639.0,4199,21,-389.2513,90.6102,6.6,84201.742188,,,,0.1352,2.799367,0.279937,23297944.618275,80.0,20.0,0.492581
2026-07-14 21:10:24,669.86,4399,22,58.9567,89.1715,6.6,99218.578125,,,,0.122331,3.725841,0.372584,448869.368025,17.7,82.3,0.583956
2026-07-14 21:10:55,700.7,4599,23,32.6771,86.7152,6.6,71656.59375,,,,0.110687,1.513939,0.151394,124708.635107,4.3,95.7,0.448141
2026-07-14 21:11:26,731.66,4799,24,95.7011,87.0896,6.6,79225.953125,,,,0.100151,3.441957,0.344196,160250.224609,1.2,98.8,0.717851
2026-07-14 21:11:58,762.87,4999,25,-171.2925,76.7543,6.6,65297.324219,,,,0.090618,5.626964,0.562696,15710918.777774,57.9,42.1,0.578102
2026-07-14 21:12:29,794.15,5199,26,68.2341,76.4266,6.5,81242.304688,,,,0.081993,4.485137,0.448514,3047722.175205,10.7,89.3,0.712154
2026-07-14 21:13:00,825.7,5399,27,65.1228,76.0079,6.5,40446.152344,,,,0.074188,2.936028,0.293603,171327.883932,4.3,95.7,0.720591
2026-07-14 21:13:31,856.81,5599,28,81.0222,76.187,6.5,49248.441406,,,,0.067127,2.78221,0.278221,42607.380228,0.4,99.6,0.511886
2026-07-14 21:14:03,887.96,5799,29,-112.2986,69.6875,6.5,27687.056641,,,,0.060737,2.814676,0.281468,11872467.915935,32.9,67.1,0.597437
2026-07-14 21:14:34,919.41,5999,30,20.4488,68.0462,6.5,33513.441406,,,,0.054956,0.826678,0.082668,88319.045898,0.7,99.3,0.510111
2026-07-14 21:15:05,950.42,6199,31,32.7168,66.9066,6.5,28455.191406,,,,0.05,1.194283,0.119428,63999.092773,0.5,99.5,0.863352
2026-07-14 21:15:36,981.59,6399,32,36.9879,65.9716,6.5,12626.679688,,,,0.05,1.337065,0.133707,72191.241211,0.5,99.5,0.610351
2026-07-14 21:16:07,1012.8,6599,33,65.0342,65.9432,6.5,11375.148438,,,,0.05,2.22919,0.222919,33678.280358,0.3,99.7,0.322364
2026-07-14 21:16:38,1043.48,6799,34,41.0372,65.2107,6.5,2470.805176,,,,0.05,1.430155,0.143015,38399.415039,0.3,99.7,0.405496
2026-07-14 21:17:09,1074.34,6999,35,48.3496,64.7289,6.5,1807.667603,,,,0.05,1.70056,0.170056,38536.868979,0.6,99.4,0.405679
2026-07-14 21:17:40,1105.16,7199,36,-107.7067,59.9391,6.5,1464.232422,,,,0.05,3.034903,0.30349,9026578.709795,36.6,63.4,0.35102
2026-07-14 21:18:11,1136.21,7399,37,-215.1366,52.5046,6.5,1148.113892,,,,0.05,2.890754,0.289075,3620678.133719,54.9,45.1,0.65295
2026-07-14 21:18:42,1167.37,7599,38,-101.2694,48.4579,6.5,2451.608887,,,,0.05,6.327229,0.632723,2298248.309707,55.3,44.7,0.576881
2026-07-14 21:19:13,1198.51,7799,39,-255.2875,40.6696,6.5,1717.466797,,,,0.05,1.94209,0.194209,5341718.248537,56.3,43.7,0.519676
2026-07-14 21:19:44,1229.6,7999,40,-86.6489,37.4866,6.5,3647.681152,,,,0.05,7.664704,0.76647,4134352.229484,58.1,41.9,0.526658
2026-07-14 21:20:15,1260.77,8199,41,-211.7255,31.4082,6.5,1126.143311,,,,0.05,3.040999,0.3041,3479167.331331,55.7,44.3,0.557128
2026-07-14 21:20:46,1291.72,8399,42,-159.8026,26.8556,6.5,780.317505,,,,0.05,4.156274,0.415627,3001822.531387,52.3,47.7,0.519644
2026-07-14 21:21:18,1323.27,8599,43,-284.4355,19.6163,6.5,1202.494385,,,,0.05,1.28665,0.128665,7707000.409066,58.2,41.8,0.509447
2026-07-14 21:21:49,1354.66,8799,44,-106.0288,16.7607,6.5,691.449707,,,,0.05,1.849496,0.18495,2295019.915996,28.5,71.5,0.498543
2026-07-14 21:22:20,1385.57,8999,45,-6.4926,16.244,6.5,617.728394,,,,0.05,1.800924,0.180092,1233369.804619,10.3,89.7,0.538988
2026-07-14 21:22:51,1416.7,9199,46,48.6049,16.9475,6.5,600.742371,,,,0.05,2.645612,0.264561,789198.754195,5.1,94.9,0.716652
2026-07-14 21:23:22,1447.64,9399,47,12.0251,16.8427,6.5,547.736816,,,,0.05,0.539283,0.053928,49922.66226,1.2,98.8,0.718239
2026-07-14 21:23:53,1478.41,9599,48,-34.6631,15.7697,6.5,863.593689,,,,0.05,1.578872,0.157887,1092992.204603,14.1,85.9,0.67216
2026-07-14 21:24:24,1509.29,9799,49,-118.7807,13.0238,6.5,463.472717,,,,0.05,1.295201,0.12952,2657201.359496,26.2,73.8,0.536665
2026-07-14 21:24:55,1540.32,9999,50,0.8512,12.7803,6.5,421.336426,,,,0.05,1.075246,0.107525,283593.649763,7.1,92.9,0.537804
2026-07-14 21:25:26,1571.43,10199,51,-91.03,10.7448,6.5,479.218048,,,,0.05,1.529009,0.152901,1943177.109808,23.2,76.8,0.615451
2026-07-14 21:25:57,1602.66,10399,52,8.2619,10.6971,6.5,356.908325,,,,0.05,3.602629,0.360263,2318393.945923,16.4,83.6,0.437048
2026-07-14 21:26:28,1633.67,10599,53,-54.8375,9.4606,6.5,298.028229,,,,0.05,2.616356,0.261636,2004932.79714,22.9,77.1,0.380275
2026-07-15 09:37:20,0.3,199,1,-3.4725,-3.4725,667.1,0.026436,,,,0.9995,2.207965,0.220796,1495763.34076,11.4,88.6,0.494143
2026-07-15 09:37:40,20.0,399,2,162.1644,79.346,20.0,45.996025,,,,0.904362,7.26554,0.726554,1049064.807549,9.1,90.9,0.488393
2026-07-15 09:38:06,46.3,599,3,-13.4057,48.4287,12.9,276.057129,,,,0.81828,1.04936,0.104936,901308.369223,7.5,92.5,0.372401
2026-07-15 09:38:38,78.35,799,4,48.8631,48.5373,10.2,1133.414307,,,,0.740392,3.183098,0.31831,980429.548519,7.5,92.5,0.414858
2026-07-15 09:39:09,109.56,999,5,36.1409,46.058,9.1,2756.553223,,,,0.669918,3.80288,0.380288,1396917.196758,18.0,82.0,0.363397
2026-07-15 09:39:40,140.38,1199,6,132.7037,60.499,8.5,4317.022949,,,,0.606152,5.634847,0.563485,688489.424464,5.9,94.1,0.364324
2026-07-15 09:40:11,171.23,1399,7,80.0982,63.2989,8.2,7672.439941,,,,0.548455,3.545351,0.354535,563477.300024,4.2,95.8,0.343319
2026-07-15 09:40:42,202.3,1599,8,153.8883,74.6226,7.9,11508.943359,,,,0.49625,6.036651,0.603665,491489.558816,4.4,95.6,0.303385
2026-07-15 09:41:13,232.92,1799,9,159.6792,84.0733,7.7,21312.0625,,,,0.449014,6.586278,0.658628,454888.202165,9.6,90.4,0.342783
2026-07-15 09:41:44,263.75,1999,10,241.7409,99.8401,7.6,30857.105469,,,,0.406275,9.177702,0.91777,466452.268027,4.8,95.2,0.373188
2026-07-15 09:42:15,294.97,2199,11,126.1331,102.2303,7.5,30253.580078,,,,0.367604,5.087584,0.508758,507401.009864,5.5,94.5,0.324415
2026-07-15 09:42:46,326.28,2399,12,182.6627,108.933,7.4,41976.503906,,,,0.332613,6.654103,0.66541,340965.322772,2.7,97.3,0.432229
2026-07-15 09:43:17,357.38,2599,13,167.5741,113.4439,7.3,52119.871094,,,,0.300953,6.247601,0.62476,376432.720396,3.3,96.7,0.409002
2026-07-15 09:43:48,388.45,2799,14,202.3279,119.7927,7.2,48540.59375,,,,0.272307,7.247386,0.724739,230996.090491,2.2,97.8,0.414827
2026-07-15 09:44:20,419.89,2999,15,200.5205,125.1746,7.1,78819.65625,,,,0.246387,7.254618,0.725462,232186.693359,1.8,98.2,0.435281
2026-07-15 09:44:51,451.18,3199,16,164.6359,127.6409,7.1,71624.296875,,,,0.222935,5.9912,0.59912,224685.07153,2.7,97.3,0.474843
2026-07-15 09:45:22,482.52,3399,17,132.3279,127.9166,7.0,65070.363281,,,,0.201715,4.851429,0.485143,260553.657307,2.1,97.9,0.504094
2026-07-15 09:45:53,513.64,3599,18,116.7794,127.2979,7.0,92870.671875,,,,0.182515,4.167226,0.416723,111111.566401,2.1,97.9,0.548213
2026-07-15 09:46:25,544.78,3799,19,140.2714,127.9807,7.0,88181.257812,,,,0.165142,5.103158,0.510316,139634.629258,2.0,98.0,0.566905
2026-07-15 09:46:56,576.52,3999,20,-138.0576,114.6788,6.9,65702.546875,,,,0.149423,3.950354,0.395035,19370343.632892,42.5,57.5,0.538568
2026-07-15 09:47:28,607.88,4199,21,-447.294,87.9182,6.9,87581.445312,,,,0.1352,2.536637,0.253664,27823627.135168,87.7,12.3,0.485871
2026-07-15 09:47:59,639.37,4399,22,-21.0088,82.967,6.9,83136.820312,,,,0.122331,3.698025,0.369802,5663771.179614,30.9,69.1,0.535466
2026-07-15 09:48:31,670.78,4599,23,58.7092,81.9123,6.9,91273.765625,,,,0.110687,2.400016,0.240002,127085.565902,4.5,95.5,0.569486
2026-07-15 09:49:02,702.65,4799,24,84.0026,81.9994,6.8,75844.609375,,,,0.100151,3.049694,0.304969,160249.913086,1.2,98.8,0.720799
2026-07-15 09:49:34,734.54,4999,25,-35.5471,77.2975,6.8,78255.171875,,,,0.090618,4.698246,0.469825,8108427.156517,29.4,70.6,0.627027
2026-07-15 09:50:06,765.98,5199,26,67.4123,76.9173,6.8,82306.585938,,,,0.081993,4.565019,0.456502,1967771.854466,11.8,88.2,0.704309
2026-07-15 09:50:37,796.82,5399,27,37.5489,75.4592,6.8,54904.796875,,,,0.074188,1.520496,0.15205,159483.960938,1.3,98.7,0.554411
2026-07-15 09:51:08,827.7,5599,28,59.3472,74.8838,6.8,39149.058594,,,,0.067127,2.928003,0.2928,1056316.11639,4.9,95.1,0.631429
2026-07-15 09:51:39,859.22,5799,29,-231.8059,64.3083,6.7,29147.503906,,,,0.060737,3.262484,0.326248,13495896.470039,55.8,44.2,0.586035
